CASEID,HEAVEN,HELL
51028,YesDef,YesDef
51031,YesDef,YesDef
51035,YesDef,YesDef
51038,YesDef,YesDef
51043,YesDef,YesDef
51046,YesDef,YesDef
51061,YesDef,YesDef
51063,YesDef,YesDef
51064,YesDef,YesDef
51065,YesDef,YesDef
51071,YesDef,YesDef
51076,YesDef,YesDef
51077,YesDef,YesDef
51080,YesDef,YesDef
51083,YesDef,YesDef
51089,YesDef,YesDef
51102,YesDef,YesDef
51108,YesDef,YesDef
51110,YesDef,YesDef
51113,YesDef,YesDef
51118,YesDef,YesDef
51138,YesDef,YesDef
51143,YesDef,YesDef
51145,YesDef,YesDef
51146,YesDef,YesDef
51147,YesDef,YesDef
51152,YesDef,YesDef
51160,YesDef,YesDef
51161,YesDef,YesDef
51162,YesDef,YesDef
51163,YesDef,YesDef
51167,YesDef,YesDef
51170,YesDef,YesDef
51171,YesDef,YesDef
51172,YesDef,YesDef
51176,YesDef,YesDef
51178,YesDef,YesDef
51180,YesDef,YesDef
51186,YesDef,YesDef
51189,YesDef,YesDef
51190,YesDef,YesDef
51191,YesDef,YesDef
51192,YesDef,YesDef
51194,YesDef,YesDef
51199,YesDef,YesDef
51205,YesDef,YesDef
51206,YesDef,YesDef
51208,YesDef,YesDef
51210,YesDef,YesDef
51211,YesDef,YesDef
51216,YesDef,YesDef
51219,YesDef,YesDef
51227,YesDef,YesDef
51229,YesDef,YesDef
51230,YesDef,YesDef
51232,YesDef,YesDef
51235,YesDef,YesDef
51236,YesDef,YesDef
51237,YesDef,YesDef
51239,YesDef,YesDef
51246,YesDef,YesDef
51254,YesDef,YesDef
51260,YesDef,YesDef
51263,YesDef,YesDef
51264,YesDef,YesDef
51271,YesDef,YesDef
51276,YesDef,YesDef
51278,YesDef,YesDef
51281,YesDef,YesDef
51287,YesDef,YesDef
51291,YesDef,YesDef
51292,YesDef,YesDef
51293,YesDef,YesDef
51295,YesDef,YesDef
51297,YesDef,YesDef
51301,YesDef,YesDef
51305,YesDef,YesDef
51309,YesDef,YesDef
51323,YesDef,YesDef
51326,YesDef,YesDef
51330,YesDef,YesDef
51331,YesDef,YesDef
51336,YesDef,YesDef
51340,YesDef,YesDef
51342,YesDef,YesDef
51349,YesDef,YesDef
51352,YesDef,YesDef
51354,YesDef,YesDef
51355,YesDef,YesDef
51356,YesDef,YesDef
51357,YesDef,YesDef
51365,YesDef,YesDef
51370,YesDef,YesDef
51371,YesDef,YesDef
51372,YesDef,YesDef
51374,YesDef,YesDef
51376,YesDef,YesDef
51382,YesDef,YesDef
51389,YesDef,YesDef
51391,YesDef,YesDef
51392,YesDef,YesDef
51396,YesDef,YesDef
51400,YesDef,YesDef
51403,YesDef,YesDef
51405,YesDef,YesDef
51406,YesDef,YesDef
51407,YesDef,YesDef
51417,YesDef,YesDef
51420,YesDef,YesDef
51423,YesDef,YesDef
51426,YesDef,YesDef
51434,YesDef,YesDef
