term,loan
5,10000
5,10000
5,10500
5,11000
5,12000
5,12000
5,13000
5,13000
5,14000
5,15000
5,15000
5,15000
5,16000
5,17000
5,18000
5,20000
5,20000
5,20000
5,25000
5,25000
5,26125
5,26400
5,28000
5,30000
5,30000
5,32000
5,34000
5,40000
5,40000
5,40000
3,3000
3,3000
3,3025
3,3400
3,3500
3,3800
3,5000
3,5000
3,5000
3,5700
3,6000
3,6000
3,6000
3,6500
3,7500
3,7700
3,8000
3,8475
3,8650
3,9000
3,9500
3,9775
3,9800
3,10000
3,10000
3,10000
3,10000
3,10000
3,10000
3,11000
3,12500
3,13850
3,14700
3,15000
3,15000
3,15000
3,15000
3,15000
3,16000
3,20000
3,20000
3,20000
3,20000
3,21000
3,21000
3,22000
3,24000
3,25000
3,25000
3,25000
3,25000
3,26000
3,28000
3,35000
3,36000
3,40000
3,40000
3,40000
