speaker,dominance,competence,EmotStab
male,-11,15,12
male,37,-3,18
male,40,1,2
male,-14,9,15
male,41,-10,-3
male,-43,-6,-8
male,19,18,21
male,35,-20,-8
male,42,13,16
male,18,14,22
male,2,25,25
male,-1,22,15
male,-6,19,31
male,49,-6,0
male,-6,4,30
male,20,-1,2
male,27,27,19
male,-24,-3,1
male,19,28,23
male,-33,3,22
male,48,-2,9
male,21,16,23
male,26,-15,-12
male,-21,17,25
male,28,7,12
male,-11,-12,-5
male,-7,15,21
male,15,38,23
male,39,-2,-3
male,-29,11,11
female,23,-4,-3
female,32,25,17
female,12,16,21
female,-45,-11,-12
female,19,-5,-7
female,21,26,20
female,-25,17,19
female,2,1,5
female,-27,15,5
female,-32,15,15
female,-26,-6,-9
female,-14,23,30
female,-6,-8,15
female,22,5,23
female,-22,7,12
female,-18,4,2
female,66,-17,0
female,22,-6,13
female,3,7,21
female,-9,7,26
female,-12,27,16
female,-43,5,15
female,-1,18,18
female,-36,17,11
female,23,9,27
female,44,-1,9
female,9,34,33
female,32,7,10
female,-40,-17,1
female,-7,4,-10
