Student,phone,response
1,No,604
1,Yes,636
2,No,556
2,Yes,623
3,No,540
3,Yes,615
4,No,522
4,Yes,672
5,No,459
5,Yes,601
6,No,544
6,Yes,600
7,No,513
7,Yes,542
8,No,470
8,Yes,554
9,No,556
9,Yes,543
10,No,531
10,Yes,520
11,No,599
11,Yes,609
12,No,537
12,Yes,559
13,No,619
13,Yes,595
14,No,536
14,Yes,565
15,No,554
15,Yes,573
16,No,467
16,Yes,554
17,No,525
17,Yes,626
18,No,508
18,Yes,501
19,No,529
19,Yes,574
20,No,470
20,Yes,468
21,No,512
21,Yes,578
22,No,487
22,Yes,560
23,No,515
23,Yes,525
24,No,499
24,Yes,647
25,No,448
25,Yes,456
26,No,558
26,Yes,688
27,No,589
27,Yes,679
28,No,814
28,Yes,960
29,No,519
29,Yes,558
30,No,462
30,Yes,482
31,No,521
31,Yes,527
32,No,543
32,Yes,536
