class,time
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,0
FR,2.5
FR,2.5
FR,2.5
FR,2.5
FR,3
FR,3.5
FR,3.75
FR,3.75
FR,3.75
FR,3.75
FR,3.75
FR,3.75
FR,5
FR,5
FR,5
FR,5
FR,5
FR,5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,7.5
FR,8.75
FR,10
FR,11.25
FR,11.25
FR,11.25
FR,12.5
FR,14
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15
FR,15.25
FR,15.25
FR,15.25
FR,15.75
FR,17.5
FR,18.75
FR,20
FR,20
FR,22.5
FR,22.5
FR,22.5
FR,22.5
FR,22.5
FR,22.5
FR,22.5
FR,22.5
FR,26.25
FR,27.5
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30
FR,30.25
FR,31.25
FR,33.75
FR,35
FR,37.5
FR,37.5
FR,37.5
FR,37.5
FR,37.5
FR,40.5
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,45
FR,46.5
FR,52.5
FR,52.5
FR,56.25
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,60
FR,62.5
FR,67.5
FR,67.5
FR,67.5
FR,67.5
FR,67.5
FR,67.5
FR,67.5
FR,67.5
FR,75
FR,75
FR,75
FR,75
FR,75
FR,78.75
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90
FR,90.5
FR,90.75
FR,95
FR,97.5
FR,97.5
FR,105
FR,105
FR,105
FR,112.5
FR,112.5
FR,112.5
FR,112.5
FR,120
FR,120
FR,120
FR,120
FR,120
FR,120
FR,120
FR,120
FR,120
FR,120
FR,120
FR,120
FR,124
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,135
FR,142.5
FR,146.25
FR,150
FR,150
FR,150
FR,150
FR,150
FR,150
FR,150
FR,150
FR,157.5
FR,157.5
FR,157.5
FR,157.5
FR,157.5
FR,157.5
FR,157.5
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180
FR,180.5
FR,187.5
FR,191.25
FR,195
FR,202.5
FR,205.5
FR,225
FR,225
FR,225
FR,225
FR,240
FR,240
FR,240
FR,255
FR,270
FR,270
FR,270
FR,292.5
FR,299
FR,300
FR,300
FR,300
FR,301
FR,314.25
FR,420
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0
SO,0.5
SO,1.5
SO,2.5
SO,2.5
SO,2.5
SO,2.5
SO,2.5
SO,2.5
SO,3
SO,3.75
SO,3.75
SO,3.75
SO,3.75
SO,3.75
SO,3.75
SO,5
SO,5
SO,5
SO,5
SO,5
SO,5
SO,5
SO,5
SO,7.5
SO,7.5
SO,7.5
SO,7.5
SO,7.5
SO,7.5
SO,10
SO,10
SO,10
SO,10
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,15
SO,16.25
SO,18
SO,18.75
SO,18.75
SO,20
SO,20
SO,20
SO,22.5
SO,22.5
SO,22.5
SO,26.25
SO,26.25
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,30
SO,35
SO,37.5
SO,37.5
SO,37.5
SO,40
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45
SO,45.75
SO,56.25
SO,59.5
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60
SO,60.5
SO,60.5
SO,67.5
SO,67.5
SO,78
SO,79.5
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90
SO,90.75
SO,90.75
SO,91
SO,93.75
SO,95
SO,97.5
SO,98.25
SO,101.25
SO,101.25
SO,101.25
SO,105
SO,112.5
SO,112.5
SO,112.5
SO,112.5
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120
SO,120.75
SO,127.5
SO,130
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,135
SO,139.5
SO,150
SO,150
SO,150
SO,157.5
SO,157.5
SO,157.5
SO,157.5
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,180
SO,200
SO,202.5
SO,202.5
SO,210
SO,213.75
SO,225
SO,225
SO,225
SO,225
SO,225
SO,225
SO,240
SO,240
SO,240
SO,240
SO,240
SO,240
SO,247.5
SO,270
SO,270
SO,292.5
SO,300
SO,300
SO,300
SO,315
SO,345
SO,360
SO,480
SO,480
SO,480
