race,TVhours
black,0
black,0
black,0
black,0
black,0
black,0
black,0
black,0
black,0
black,0
black,0
black,0
black,0
black,0
black,0
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,1
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,2
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,3
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,4
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,5
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,6
black,7
black,7
black,7
black,7
black,7
black,7
black,8
black,8
black,8
black,8
black,8
black,8
black,8
black,8
black,8
black,10
black,10
black,12
black,12
black,12
black,12
black,12
black,12
black,14
black,16
black,20
black,24
black,24
black,24
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,0
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,1
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,2
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
white,3
