Athlete,BP60,maxBP (lbs),LP200,maxLP (lbs),Situps (per minute),40YD (sec),VerticalJump (in),SitReach (in),MB (in),SR (sec),Age,Height (in),Weight (lbs),Bodyfat (%),BMI,Sport
1,10,80,15,295,37,5.81,15.5,21,131,31.73,14,60,108,21.5,21.1,SB
2,12,85,35,330,36,5.6,15,25,109,31.53,15,68,119,15.5,18.1,VB/S
3,20,85,23,410,26,6.02,19.5,17,132.5,32.33,15,67.25,152,27.1,23.6,VB
4,5,65,18,340,21,6.28,16.5,23,100.5,34.98,14,67,158,29.2,24.8,SB/BB
5,12,95,27,380,30,6.29,16,18,112.5,32.75,14,68,155,27.2,23.6,SB/TR
6,10,75,19,370,29,5.8,16.5,20,120,34.02,15,68,128,21.4,19.5,SB/TR
7,13,90,35,385,27,6.7,16,25,116,33.24,17,67,170,28.9,27.1,VB
8,8,85,11,270,23,6.12,16.5,16,115.5,31.59,15,67.5,129,19.7,19.9,BB
9,14,90,24,390,32,6.32,13,25.5,103,34.32,15,67.25,142,21.7,22.1,VB
10,15,105,25,380,10,6.34,16,19,133.25,35.23,14,65,175,31.9,29.1,SB
11,3,65,8,260,39,5.67,19.5,13,107,31.42,14,61,99,18.1,18.7,SB/BB
12,5,65,11,270,25,6.01,17,17,106,32.97,14,63,116,23.8,20.5,SB
13,5,70,13,285,27,6.13,15,15,100.5,32.98,16,65,132,24,22,SB
14,10,85,29,370,37,5.78,18,20,115.5,31.6,14,64.25,128,21.6,21.7,SB/BB
15,15,80,30,370,31,5.84,18,16,122.5,31.59,16,63,132,23.9,23.4,SB
16,2,65,20,365,11,6.33,14.5,21,105.25,34.1,14,70,151,26.3,21.7,VB/BB
17,14,75,20,430,30,6.31,15,24,102,34.12,16,65,128,25,21.3,VB
18,9,75,25,385,30,6.36,14,20,121.5,36.1,14,67,162,27.7,25.8,SB
19,12,90,19,340,29,5.73,14.5,21.5,125,32.43,16,66.5,138,23.1,21.9,BB
20,5,70,12,285,33,6.12,16.5,20,115,31.8,14,65,121,20.9,20.1,BB
21,12,85,35,420,30,6.39,17,23,119.5,34.01,16,73,200,30.5,26.4,VB
22,6,75,30,390,17,6,14.5,18.5,99.75,37.9,15,67,188,32.8,29.4,SB
23,16,90,18,355,32,6.25,16,24,110.5,31.92,15,68.75,139,20.7,20.7,VB
24,14,95,35,380,33,5.98,18.5,23,123.5,32.43,17,67,141,24.5,22.1,SB
25,17,105,35,380,32,5.38,19.5,16.5,131,30.7,15,65.5,167,29.6,27.4,SB/BB
26,10,90,30,370,20,5.59,16.5,21.5,107,31.18,15,68,162,27.5,24.6,VB/BB
27,6,75,26,355,22,6.52,17,20,101.25,32.91,16,64,133,24.1,22.8,SB
28,4,60,17,300,28,5.93,17,16.5,111,32.87,15,63.25,127,23.9,22.1,SB
29,2,70,13,295,26,5.97,13.5,18,91.5,33.58,15,65,118,21.3,19.6,VB
30,30,115,30,375,32,6.18,17,17,128.5,35.72,15,61.5,129,26.6,24,VB
31,20,80,35,480,32,5.87,12,22,130.5,34.26,16,66,160,31.3,25.8,SB/BB
32,3,60,12,290,28,5.19,15,18,98,33.58,14,66.5,117,20.2,18.6,SB
33,4,85,24,340,23,6.25,13,15.5,87.75,34.1,14,64,170,33.3,29.2,SB
34,2,65,10,280,34,6.11,13.5,19,91.5,34.01,16,66,138,26.3,22.3,BB
35,7,65,12,290,21,6.5,12,17,93.5,33.9,14,64,108,18.8,18.5,TR/BB
36,20,95,35,490,12,6.34,15.5,18,113.5,34.71,17,69.25,208,34.6,30.5,VB
37,13,65,23,345,16,6.22,11.5,20,105,34.05,14,67,137,23.2,21.4,VB
38,3,65,11,280,30,6.39,12.5,18,94,33.74,15,65.25,112,17.8,18.5,VB
39,4,65,10,310,35,5.61,15.5,17,97.5,31.93,14,62,109,17.8,19.9,SB
40,12,70,35,385,30,5.72,17,18,105.5,32.88,17,66,128,21,20.7,SB/BB
41,8,80,15,335,24,6.8,15,23,97.75,31.47,16,64,119,20.4,20.4,VB/T
42,6,80,15,310,20,5.84,13.5,16.5,120.5,34.77,14,68,154,29.6,23.4,VB/BB
43,12,75,27,350,19,6.65,10.5,22,122.5,39.18,14,62.5,171,35.7,30.8,SB
44,8,65,13,270,26,5.64,11.5,21,103.5,35.1,14,65,115,20.5,19.2,TR
45,10,75,32,360,23,6.33,14,20,95.25,35.4,14,64.5,170,33.2,28.7,SB
46,11,80,11,300,39,5.4,19.5,21,109.5,30.82,14,64,105,18.7,18,BB/CC/TR
47,4,75,11,260,31,5.7,16,22,110.5,31.49,15,64,124,23.7,21.4,SB/TR
48,4,70,12,280,32,5.84,17,17,115,31.5,16,64.5,127,24.5,21.5,SB/BB
49,4,65,15,340,26,6.64,13.5,18.5,88,33.24,14,64.75,118,23.2,19.8,VB
50,20,85,26,500,35,5.81,19,26,128.25,32.43,17,71,153,22.2,21.3,VB
51,11,80,15,305,35,6.14,13,17.5,111,32.8,15,63.5,124,22.4,21.3,SB
52,11,75,29,350,18,6.45,14,20,121.5,35.1,14,65,165,34,30.1,SB
53,30,105,32,400,25,5.84,17,23,129.5,33.01,18,68,135,28.3,22.2,VB/S
54,35,115,26,390,29,5.59,16.5,23,130.5,31.97,18,65,135,29.3,23.2,SB
55,20,80,35,480,16,6.56,13,16,123,34.02,18,68,194,34.1,29.5,SB/TR
56,13,90,30,380,26,5.54,17,24,118.5,32.56,16,63,129,24.3,22.9,SB
57,15,90,28,380,29,5.84,17,24,121.25,32.98,17,63,130,24.1,23,SB
