iso2c,country,year,Population Size,GDP in billions of $US,GDP per Capita in thousands of $US,Internet Users,Internet Penetration,Facebook Users,Facebook Penetration,Broadband Subscribers
AR,Argentina,2012,41086927,476,12,22926505,55.8,20048100,48.79,4475415
AU,Australia,2012,22683600,1532,68,18679842,82.35,11680640,51.49,5743000
BE,Belgium,2012,11142157,483,43,9136569,82,4922260,44.18,3679196
BR,Brazil,2012,198656019,2253,11,99026051,49.85,58565700,29.48,18186954
CA,Canada,2012,34880491,1821,52,30264360,86.77,18090640,51.86,11405500
CL,Chile,2012,17464814,270,15,10726566,61.42,9687720,55.47,2166805
CN,China,2012,1350695000,8227,6,571345572,42.3,633300,0.05,175624800
CO,Colombia,2012,47704427,370,8,23367689,48.98,17322000,36.31,3975161
EG,"Egypt, Arab Rep.",2012,80721874,263,3,35574130,44.07,12173540,15.08,2287249
FR,France,2012,65696689,2613,40,54528252,83,25624760,39,23960000
DE,Germany,2012,81889839,3428,42,68787465,84,25332440,30.93,27906896
HK,"Hong Kong SAR, China",2012,7154600,263,37,5208549,72.8,4034560,56.39,2270740
IN,India,2012,1236686732,1842,1,155575944,12.58,62713680,5.07,14306000
ID,Indonesia,2012,246864191,878,4,37918340,15.36,51096860,20.7,2983000
IT,Italy,2012,60917978,2015,33,35332427,58,23202640,38.09,13483000
JP,Japan,2012,127561489,5960,47,100837357,79.05,17196080,13.48,35295509
MY,Malaysia,2012,29239927,305,10,19239872,65.8,13589520,46.48,2459900
MX,Mexico,2012,120847477,1178,10,46429601,38.42,38463860,31.83,12717139
NL,Netherlands,2012,16767705,771,46,15593966,93,7554940,45.06,6592000
PE,Peru,2012,29987800,204,7,11455340,38.2,9351460,31.18,1422285
PH,Philippines,2012,96706764,250,3,35041793,36.24,29890900,30.91,2146600
PL,Poland,2012,38542737,490,13,25052779,65,9863380,25.59,6372500
RU,Russian Federation,2012,143533000,2015,14,76466919,53.27,7963400,5.55,20658157
SA,Saudi Arabia,2012,28287855,711,25,15275442,54,5852520,20.69,1965751
ZA,South Africa,2012,51189306.61,384,8,20987616,41,6269600,12.25,1107200
ES,Spain,2012,46217961,1323,29,33276932,72,17590500,38.06,11344642
SE,Sweden,2012,9516617,524,55,8945620,94,4950160,52.02,3056000
TH,Thailand,2012,66785001,366,5,17698025,26.5,17721480,26.54,4357398
TR,Turkey,2012,73997128,789,11,33394904,45.13,32131260,43.42,7858170
GB,United Kingdom,2012,63227526,2472,39,55018190,87.02,32950400,52.11,21370568
US,United States,2012,313914040,16245,52,254349479,81.03,166029240,52.89,88520000
VE,"Venezuela, RB",2012,29954782,381,13,13193763,44.05,9766540,32.6,2013347
