Athlete,Age,Pull-ups,maxBP (kg),P. Clean,Vert,Squat,Inc. BP Max,Snatch,Close Grip BP Max,Milt Press Max,Med Ball(ft),repBP (Repetition to fatique BP) ,40yd(sec),Sit-ups/min.,% Body Fat,Sit-n-Reach(in.),ProAgility(sec),Wt. (lbs),Ht. (in.)
1,16,19,190,225,27,326,175,145,175,205,35.6,13,4.75,61,18,20.25,1.28,167.4,70.5
2,15,1,180,190,16,354,160,130,165,175,27.4,12,5.57,37,24.5,18.25,5.03,181.8,71
3,15,9,170,190,25,312,145,135,165,165,34,10,4.85,50,13.8,21.5,4.59,164.4,73.5
4,16,9,265,260,19,437,205,195,245,225,42.8,20,4.71,56,25.5,17.5,4.73,216.8,75.5
5,15,8,145,145,16,215,105,95,135,135,25,5,5.58,50,11.7,19.75,5.04,130.4,65
6,14,1,205,185,17,257,185,115,195,165,28,17,5.9,40,28.6,22.25,5.43,204.4,70
7,17,28,250,260,30,423,225,175,225,225,30.6,22,4.3,57,11.9,18.25,4.18,162,72
8,16,3,340,285,21,534,300,245,330,225,43,20,5.52,38,39.8,21.5,5.32,303.6,72
9,16,0,190,200,19,381,165,135,165,185,23.7,15,6.01,50,30.1,19.25,5.3,212,71
10,17,20,260,225,25,368,220,165,240,205,35.9,26,4.87,32,23.1,19,4.52,195.4,68
11,14,11,245,225,24,312,205,155,225,190,38.4,19,4.78,51,21.8,17.75,5.29,165.8,65
12,14,8,115,95,19,187,105,80,105,95,21.9,0,5.79,57,9,18.75,6.15,122.2,68
13,14,0,115,105,13,187,105,105,135,115,23.2,2,6.78,35,32.2,13,6.06,219,70
14,17,26,235,255,27,339,200,135,205,205,28.9,22,4.7,43,8.6,12,4.36,150.8,68.5
15,16,1,210,190,19,374,205,140,200,185,27,24,5.78,35,32.1,21.5,5.35,235,71.5
16,16,17,200,195,23,360,190,140,195,135,26.6,15,4.92,41,13.9,21.75,4.75,146.4,65.5
17,13,2,195,160,18,246,165,105,165,130,26.7,14,5.78,40,27.7,12,5.48,195,73
18,16,19,205,210,25,257,185,125,185,170,30.6,13,4.63,49,17.7,15.5,4.6,163.4,71
19,14,6,235,170,21,339,190,120,205,155,30.8,20,5.26,51,20.5,17.25,4.82,165,68
20,16,15,165,165,25,257,135,115,155,135,24.6,4,5.01,49,9.3,19,5.15,128,70
21,15,5,160,135,17,187,135,95,140,125,23.6,3,6,49,25.5,13,5.44,175.6,68.5
22,14,4,95,95,23,166,85,65,95,95,17.1,0,5.38,40,12.3,17,4.88,116.8,68
23,17,4,250,255,23,428,240,175,215,245,31.5,26,5.18,52,31.4,18.5,4.96,223,70
24,16,13,205,240,24,381,175,155,195,205,30.6,20,6.78,50,25.5,23.25,4.59,205.8,74
25,16,14,195,185,21,312,165,135,175,165,30.1,17,5.16,57,17.8,23.5,4.83,149.8,69.5
26,15,19,245,195,20,339,210,125,215,155,32.3,20,4.95,43,20.2,17,4.54,175.6,72
27,14,10,165,155,18,257,150,120,155,140,23,10,5.32,42,19.1,19.5,5.24,149.8,66.5
28,14,7,225,165,19,326,185,125,185,150,29,22,5.35,37,23.8,20.25,4.81,196,75
29,15,11,200,185,21,325,170,120,160,150,30.5,15,5.25,60,23.4,15.5,4.71,176,73
30,17,14,205,215,27,284,170,135,185,195,31,18,4.914,56,14.3,12,4.44,170.4,73.5
31,15,1,155,175,21,246,135,115,145,135,26,5,5.35,52,19.2,19,5.17,151,70
32,15,3,205,215,23,326,170,145,180,165,27.2,15,5.51,40,27.4,21,5.22,204.2,71
33,15,10,170,170,20,257,125,125,145,125,27.5,9,5.24,48,18.3,19,4.86,173.6,73
34,15,10,150,160,17,228,135,105,135,125,30.4,3,5.12,33,18.5,15.25,4.81,145,73
35,15,16,160,175,23,326,145,105,140,160,20.9,10,5,45,21.8,19.75,4.89,166.2,66.5
36,14,7,110,105,19,251,95,75,105,90,20.7,0,5.3,48,9.8,11.75,4.67,116.2,71.5
37,17,2,270,260,23,410,255,165,255,230,29.6,21,5.2,39,28.8,21.75,4.92,236.2,73
38,17,10,220,230,33,299,185,145,195,185,35.3,22,4.45,62,13.6,22,4.42,165,71
39,17,5,265,205,26,332,235,155,255,220,29.1,29,5.04,45,16.4,23.25,5.01,172,69
40,16,1,165,185,25,273,150,125,145,155,27.8,10,5.59,37,22.3,17.5,4.97,187.2,75
41,14,1,105,105,15,187,95,75,95,65,17.6,0,6.27,39,22,17.25,5.38,144.6,64
42,17,26,310,280,25,436,250,175,245,225,34.6,30,4.9,52,17.9,19,4.39,190.6,73.5
43,17,7,205,245,24,332,190,155,205,205,32.2,17,4.61,41,18.1,12.75,4.19,177.4,71
44,16,2,225,225,21,339,190,145,185,185,34.7,17,5.78,32,31.6,16,4.95,238.2,74.5
45,16,25,195,190,24,340,185,135,185,175,31,13,4.76,67,14.3,19,4.44,155.2,74
46,16,21,210,210,25,346,175,145,195,185,30.6,17,4.8,56,15.3,18,4.48,158.2,68
47,15,3,275,210,21,313,245,155,245,185,35,30,5.18,38,28.8,16.5,4.76,224,72.5
48,13,2,155,140,18,215,130,105,140,115,24.2,5,6.02,23,28.2,21,5.63,174.2,64.5
49,14,5,225,180,18,250,160,110,195,150,27.3,24,5.48,31,26.8,15,5.07,189.2,69
50,16,10,320,285,24,506,265,205,255,255,37.4,35,5.21,58,27.4,23.25,4.68,226.2,73
51,16,8,290,235,23,374,235,165,255,210,33.5,19,5.14,34,23.1,16.5,4.77,213.4,73
52,15,10,205,205,25,326,185,135,185,165,27.8,20,4.75,53,15.6,18.5,4.84,165.4,71
53,16,6,205,205,28,299,175,135,195,175,38.7,16,4.96,64,16.4,19.25,4.92,177.6,76
54,16,4,325,285,25,569,295,210,300,205,38.3,29,5.43,39,40.4,20,4.98,317.4,74
55,17,1,225,250,21,346,185,150,220,185,26.6,19,5.12,53,21.1,19.25,5.04,185.2,72
56,17,24,265,235,28,312,215,165,225,0,33,22,4.65,66,14.5,21,4.4,162.8,68.5
57,16,10,285,275,24,465,235,175,235,225,33.1,27,5,58,23.1,21.25,4.68,201.4,71.5
58,17,10,215,225,29,354,185,145,190,195,32.5,20,4.64,48,14.8,17.5,4.61,158,70
59,14,13,220,205,26,312,185,135,205,195,30.4,16,4.76,39,19.2,12,5.22,162.2,70
60,17,16,315,300,31,449,295,185,315,265,38.9,28,4.79,39,22.1,19.25,4.8,209.4,74
61,17,15,275,275,26,437,225,175,245,225,32,24,4.83,54,23,19.5,4.67,200.2,71
62,14,1,150,135,14,215,130,95,120,120,27,1,5.79,38,26.1,18,5.44,184,73.5
