Cancer,risk,divisions (million)
Acute myeloid leukemia,0.0041,129900
Basal cell carcinoma,0.3,3550000
Chronic lymphocytic leukemia,0.0052,129900
Colorectal adenocarcinoma,0.048,1168000
Duodenum adenocarcinoma,0.0003,7796
Esophageal squamous cell carcinoma,0.001938,1203
Gallbladder non papillary adenocarcinoma,0.0028,78.4
Glioblastoma,0.00219,270
Head & neck squamous cell carcinoma,0.0138,31860
Hepatocellular carcinoma,0.0071,270900
Lung adenocarcinoma (nonsmokers),0.0045,9272
Lung adenocarcinoma (smokers),0.081,9272
Medulloblastoma,0.00011,272
Melanoma,0.0203,763800
Osteosarcoma,0.00035,29.26
Ovarian germ cell,0.000411,22
Pancreatic ductal adenocarcinoma,0.013589,342800
Pancreatic endocrine (islet cell) carcinoma,0.000194,6068
Small intestine adenocarcinoma,0.0007,292200
Testicular germ cell cancer,0.0037,3348
Thyroid papillary/follicular carcinoma,0.01026,585
Thyroid medullary carcinoma,0.000324,585
