adult,income,y
1,12,0
2,13,0
3,14,1
4,14,0
5,14,0
6,14,1
7,14,0
8,14,0
9,14,0
10,14,0
11,15,0
12,15,1
13,15,0
14,15,0
15,15,0
16,15,0
17,15,1
18,15,0
19,15,0
20,15,0
21,15,0
22,15,0
23,15,0
24,15,0
25,16,0
26,16,0
27,16,0
28,16,0
29,16,0
30,16,0
31,16,0
32,16,0
33,16,0
34,17,0
35,17,1
36,17,0
37,17,0
38,17,0
39,17,0
40,17,0
41,17,1
42,19,0
43,19,0
44,19,1
45,19,0
46,19,0
47,20,0
48,20,0
49,20,0
50,20,0
51,20,0
52,20,0
53,20,0
54,21,0
55,21,0
56,22,1
57,24,0
58,24,0
59,25,0
60,25,0
61,25,0
62,25,0
63,25,0
64,25,0
65,25,0
66,25,0
67,25,1
68,25,1
69,26,0
70,29,0
71,30,0
72,30,0
73,30,0
74,30,1
75,30,1
76,32,1
77,32,1
78,32,1
79,32,1
80,32,1
81,32,1
82,34,1
83,34,1
84,34,1
85,35,0
86,35,0
87,35,1
88,35,1
89,35,1
90,39,0
91,40,0
92,42,0
93,47,0
94,60,1
95,60,1
96,60,1
97,60,1
98,60,1
99,60,1
100,65,1
