2008,Country,Adolescent fertility rate (wome,Adult literacy rate (both sexes,Combined gross enrolment ratio
,Afghanistan,121.3,28,50.1
,Albania,14.2,99.1,67.8
,Algeria,7.3,76.2,73.6
,Angola,123.7,67.4,65.3
,Argentina,56.9,97.7,88.6
,Armenia,35.7,99.5,74.6
,Azerbaijan,33.8,99.5,66.2
,Bahrain,16.7,89.2,90.4
,Bangladesh,71.6,54.5,52.1
,Belarus,21.3,99.7,90.4
,Belize,78.7,75.1,78.3
,Benin,111.8,41.4,52.4
,Bhutan,38.3,52.8,54.1
,Bolivia (Plurinational State of),78.2,90.7,86
,Bosnia and Herzegovina,15.9,96.7,69
,Botswana,52.1,83.5,70.6
,Brazil,75.6,90,87.2
,Brunei Darussalam,25,95.1,77.7
,Bulgaria,42.2,98.3,82.4
,Burkina Faso,130.9,28.7,32.8
,Burundi,18.6,59.3,49
,Cambodia,39.2,77,58.5
,Cameroon,127.5,67.9,52.3
,Cape Verde,94.9,84.5,68.1
,Central African Republic,106.6,48.6,28.6
,Chad,164.4,31.8,36.5
,Chile,59.6,96.7,82.5
,China,9.7,93.6,68.7
,Colombia,74.3,92.7,79
,Comoros,45.7,75.9,46.4
,Congo,112.8,81.1,58.6
,Congo (Democratic Republic of the),201.4,67.2,48.2
,Costa Rica,67,96.1,73
,Côte d'Ivoire,129.9,48.7,37.5
,Croatia,14.1,98.8,77.2
,Cuba,45.2,99.8,100.8
,Cyprus,6.1,97.9,77.6
,Dominican Republic,108.7,89.5,73.5
,Egypt,39,66.4,76.4
,El Salvador,82.7,82,74
,Equatorial Guinea,122.8,87,62
,Eritrea,66.9,65.5,33.3
,Estonia,21.4,99.8,91.2
,Ethiopia,104.4,35.9,49
,Gabon,89.9,86.9,80.7
,Georgia,44.7,100,76.7
,Ghana,64,65.8,56.5
,Greece,8.9,97.2,101.6
,Grenada,42.4,96,73.1
,Guatemala,107.2,73.9,70.5
,Guinea,152.3,29.5,49.3
,Guinea-Bissau,129.2,66.2,36.6
,Honduras,93.1,83.6,74.8
,Hungary,20.2,98.9,90.2
,India,68.1,66.8,61
,Indonesia,39.8,92,68.2
,Iran (Islamic Republic of),18.3,82.3,73.2
,Iraq,85.5,74.1,60.5
,Israel,14.3,97.1,89.9
,Italy,4.9,98.9,91.8
,Jamaica,77.3,86.4,78.1
,Jordan,24.5,91.1,78.7
,Kazakhstan,30.7,99.6,91.4
,Kenya,103.5,73.6,59.6
,Kuwait,13.2,94.5,72.6
,Kyrgyzstan,32.3,99.3,77.3
,Lao People's Democratic Republic,37.4,72.7,59.6
,Latvia,15.2,99.8,90.2
,Lebanon,16.2,89.6,78
,Lesotho,73.5,82.2,61.5
,Liberia,141.6,56.7,57.6
,Libyan Arab Jamahiriya,3.2,87.3,95.8
,Lithuania,21.9,99.7,92.3
,The former Yugoslav Republic of Macedonia,21.7,97.1,70.1
,Madagascar,132.8,70.7,61.3
,Malawi,135.2,72.7,61.9
,Malaysia,12.8,92.2,71.5
,Maldives,13.4,97.1,71.3
,Mali,162.9,26.2,46.9
,Malta,11.5,92.4,81.3
,Mauritania,90,56.4,50.6
,Mauritius,39.3,87.8,76.9
,Mexico,64.8,92.8,80.2
,Moldova (Republic of),33.8,99.3,71.6
,Mongolia,16.6,97.2,79.2
,Montenegro,14.7,96.4,74.5
,Morocco,18.9,56.5,61
,Mozambique,149.2,45,54.8
,Myanmar,18.4,89.9,56.3
,Namibia,74.4,88.3,67.2
,Nepal,101.4,57.8,60.8
,Nicaragua,112.7,78,72.1
,Niger,157.4,28.7,27.2
,Nigeria,126.6,73,53
,Occupied Palestinian Territories,78.7,93.8,78.3
,Oman,10.4,85,68.2
,Pakistan,45.7,54.2,39.3
,Panama,82.6,93.6,79.7
,Papua New Guinea,55,58.2,40.7
,Paraguay,72.3,94.6,72.1
,Peru,54.7,89.6,88.1
,Philippines,45,93.5,79.6
,Poland,13.9,99.3,87.7
,Portugal,16.5,,88.8
,Qatar,15.9,93.1,80.4
,Romania,31.2,97.6,79.2
,Russian Federation,25.1,99.5,81.9
,Rwanda,36.7,64.9,52.2
,Saint Lucia,61.6,94.8,77.2
,Saint Vincent and the Grenadines,58.9,88.1,68.9
,Samoa,27.6,98.7,74.1
,Sao Tome and Principe,66.1,88.4,68.1
,Saudi Arabia,26.1,85.6,78.5
,Senegal,104.4,41.9,41.2
,Serbia,22.1,96.4,74.5
,Sierra Leone,126,39.2,44.6
,Slovenia,4.9,99.7,92.8
,Solomon Islands,41.8,,49.7
,South Africa,59.2,88.4,76.8
,Spain,12.1,97.9,96.5
,Sri Lanka,29.8,90.8,68.7
,Sudan,56.8,60.9,39.9
,Suriname,39.5,90.6,74.3
,Swaziland,83.9,79.6,60.1
,Syrian Arab Republic,61.1,83.7,65.7
,Tajikistan,28.4,99.7,70.9
,Tanzania (United Republic of),130.4,72.6,57.3
,Thailand,37.3,,78
,Timor-Leste,53.8,50.1,63.2
,Togo,64.8,53.2,53.9
,Tonga,22.8,99.2,78
,Trinidad and Tobago,34.6,98.8,61.1
,Tunisia,6.9,78.5,76.2
,Turkey,38.8,88.7,71.1
,Uganda,150,74.6,62.3
,Ukraine,28.3,99.7,90
,United Arab Emirates,16,90,71.4
,Uruguay,61.1,97.9,90.9
,Uzbekistan,12.9,96.9,72.7
,Vanuatu,47,78.9,62.3
,Venezuela (Bolivarian Republic of),89.9,95.2,85.9
,Viet Nam,16.6,90.3,62.3
,Yemen,68.1,60.4,54.4
,Zambia,141.8,70.9,63.3
,Zimbabwe,64.6,91.7,54.4
