Height,Gender,Haircut,Job,Studytime,Smokecig,Dated,HSGPA,CGPA,HomeDist,BrowseInternet,WatchTV,Exercise,ReadNewsP,Vegan,PoliticalDegree,PoliticalAff
65,1,25,1,7,0,0,3.9,3.3,1,60,120,0,4,0,4,2
71,0,12,0,2,0,1,3.79,3.13,5,20,120,1,0,0,2,3
68,1,4,0,4,0,1,3,3.6,15,60,90,1,1,0,2,3
64,1,0,1,3.5,0,1,3.9,3.5,0.75,10,120,15,1,0,4,2
64,1,50,0,4.5,0,1,3.6,3.5,40,30,120,6,2,0,5,2
66,0,10,1,3,0,3,3.2,3.75,5,30,120,7,5,0,4,1
74,0,0,0,3,0,0,3.78,3.47,1,0,0,7,4,0,6,2
69,1,18,0,8,1,1,3.2,2.8,40,10,60,4,2,0,6,2
65,1,55,0,5.5,0,0,3.5,2.88,7,15,90,2.5,3,0,7,2
68,1,41,1,5.5,0,0,3.8,3.28,3,10,60,3,0,0,5,2
65,1,40,1,5,0,1,3.89,3.53,2.9,15,60,4,1,0,6,2
66,1,14,0,7,0,1,3.8,3.5,4,30,180,5,3,0,2,2
62,1,35,1,9,0,0,4,3.98,1.2,15,45,7.5,4,0,6,2
72,0,10,0,4,0,1,3.3,2.6,2,120,180,60,5,0,4,3
69,1,45,1,10,0,0,3.7,3.5,30,10,60,0,0,0,6,2
69,1,0,0,3,0,0,3.9,3.98,40,30,20,1,1,0,7,2
68,0,0,0,3,0,0,3.5,3.75,2.5,30,60,8,5,0,5,2
72,0,0,0,3.5,0,1,3.9,3.67,2.5,75,90,7,0,0,5,2
66,1,20,0,4.5,0,1,4,3.75,8,40,120,3,5,0,4,2
69,0,12,1,3.5,0,0,3.5,3.9,40,30,120,5,1,0,6,2
68,0,7,0,2,0,1,3.79,3.1,4,5,60,14,2,0,4,3
60,0,0,1,6,0,1,3.9,3.14,7,40,120,15,7,0,6,2
69,1,40,0,6,0,2,3.5,3.8,3,10,60,7,2,1,2,1
72,0,12,1,4,0,1,3.8,3.7,10,60,30,3,2,0,5,2
65,1,25,0,3,0,0,4,3.87,0.7,5,0,3.5,0,0,7,2
72,0,8,0,4,0,1,3.5,3.31,10,30,120,25,0,0,6,2
74,0,0,1,10,0,0,2.55,3.14,0.85,70,120,6,0,0,4,3
67,1,150,0,4.5,0,0,3.8,2.98,5,180,90,2,1,0,4,1
69,1,40,1,7,0,1,4,4,0.5,120,90,5,0,0,6,2
71,1,18,0,5,0,1,4,3.77,1,35,15,10,4,0,6,2
62,1,10,0,3,0,0,4,4,0.75,60,60,2,3,0,2,1
68,1,25,0,8,0,1,3.8,3.49,3,30,60,3.5,5,0,5,2
67,1,15,0,5,0,1,4,3.99,70,15,60,5,5,0,3,3
63,1,15,1,8,0,1,4,3.78,1,30,0,6,5,0,3,1
63,1,40,0,4.5,0,1,4,3.92,1.5,60,60,5,6,0,4,3
64,1,77,0,2,0,1,4,3.77,5,45,0,5,4,0,2,3
65,1,15,0,3,0,1,4,3.83,2,30,30,3,1,1,6,2
69,1,31,0,6,0,1,3.86,3.86,2,30,60,3,3,0,6,2
68,1,35,1,10,0,1,4,3.86,2.5,10,30,5,0,0,6,2
65,1,150,0,2,0,0,4,3.93,2,60,180,3,2,0,6,2
64,1,20,0,12,0,0,3.9,3.91,1,30,30,5,7,0,2,1
67,1,12,0,5,0,0,4,4,1,180,30,4,2,0,4,3
72,0,8,0,4,0,0,4,3.73,7,60,180,2.5,5,0,4,3
68,1,20,1,3,0,0,4,3.75,2.5,30,180,2,2,0,3,1
65,1,20,1,4,0,0,4,3.99,1,60,30,9,7,0,6,2
68,1,80,0,4,1,1,4,3.8,0.75,60,0,6.5,3,1,1,1
70,1,75,0,4,0,1,4,3.77,1.5,45,60,2,3,0,4,3
62,1,10,0,5,0,0,4,3.95,1.5,90,0,3,0,1,5,3
64,1,25,1,15,0,1,4,3.74,42,60,0,10,0,0,6,2
69,1,45,1,4.5,0,0,3.7,3.65,5,15,30,2,3,0,3,3
72,0,12,1,4,0,1,3.75,3.83,0.75,90,10,3,5,0,6,2
70,0,20,0,4,0,0,3.94,4,12,15,25,3,7,0,6,2
62,1,11,1,5,0,0,3.9,3.2,0.6,150,60,3,1,1,4,3
70,1,40,0,5,0,1,3.9,3.6,1,10,60,3,1,1,4,2
74,0,14,0,6,0,0,4,3.75,1,60,30,6,3,0,5,2
65,1,60,0,3,0,1,3.97,3.77,0.75,45,0,4,0,0,3,3
65,1,20,1,3,0,1,4,3.83,2,30,20,3,1,0,6,2
66,0,11,0,2,1,3,4,3.7,2,120,0,0,0,0,5,2
62,1,30,1,2.3,0,1,3.6,2.5,6,30,60,2,4,0,5,2
