Year,Gender,Winning Height (m)
1896,Men,1.81
1900,Men,1.9
1904,Men,1.8
1908,Men,1.905
1912,Men,1.93
1920,Men,1.935
1924,Men,1.98
1928,Men,1.94
1932,Men,1.97
1936,Men,2.03
1948,Men,1.98
1952,Men,2.04
1956,Men,2.12
1960,Men,2.16
1964,Men,2.16
1968,Men,2.24
1972,Men,2.23
1976,Men,2.25
1980,Men,2.36
1984,Men,2.35
1988,Men,2.36
1992,Men,2.34
1996,Men,2.39
2000,Men,2.36
2004,Men,2.36
2008,Men,2.36
2012,Men,2.38
2016,Men,2.38
1928,Women,1.59
1932,Women,1.657
1936,Women,1.6
1948,Women,1.68
1952,Women,1.67
1956,Women,1.76
1960,Women,1.85
1964,Women,1.9
1968,Women,1.82
1972,Women,1.92
1976,Women,1.93
1980,Women,1.97
1984,Women,2.02
1988,Women,2.03
1992,Women,2.02
1996,Women,2.05
2000,Women,2.01
2004,Women,2.06
2008,Women,2.05
2012,Women,2.05
2016,Women,1.97
