House Price (USD),HP in thousands,House Size,Acres,Lot Size,Bedrooms,T Bath,Age,Garage,Condition,Age Category
232500,232.5,1679,0.23,10018.8,3,1.5,35,1,0,M
470000,470,4494,0.52,22651.2,5,4,38,1,0,M
150000,150,2542,0.11,4791.6,4,0,5,1,0,N
167500,167.5,1094,0.18,7840.8,2,1,65,0,0,O
210000,210,1838,0.19,8276.4,4,2,33,1,0,M
522000,522,4156,0.22,9583.2,3,3.5,3,1,0,N
397000,397,3222,0.16,6969.6,4,2.5,6,1,0,N
219362,219.362,1556,0.16,6969.6,2,2,34,1,0,M
300000,300,2846,1.08,47044.8,3,2,43,1,0,M
217000,217,1596,0.04,1742.4,3,2.5,9,1,0,N
357500,357.5,3189,0.2,8712,4,2.5,19,1,1,N
420000,420,2755,5,217800,1,1,8,0,0,N
250000,250,2698,0.12,5227.2,3,2,88,1,0,O
231000,231,2229,0.33,14374.8,3,2,64,1,1,O
290000,290,2552,0.44,19166.4,3,2,47,1,0,M
280000,280,3292,0.17,7405.2,4,2,78,1,0,VO
162500,162.5,1444,0.19,8276.4,3,1,38,1,0,M
183000,183,1418,0.22,9583.2,3,1,52,1,0,O
226500,226.5,2143,0.07,3049.2,3,2.5,1,1,0,N
151000,151,648,0.06,2613.6,1,1,75,0,1,VO
220000,220,2424,0.2,8712,5,2,70,1,0,O
186000,186,1568,0.14,6098.4,3,1.5,33,1,0,M
310000,310,2454,0.13,5662.8,3,2,5,1,0,N
240000,240,2360,1.09,47480.4,3,2,7,1,0,N
246200,246.2,2148,0.11,4791.6,3,2,84,1,1,VO
235000,235,2795,0.44,19166.4,3,2,54,1,1,O
141250,141.25,988,0.13,5662.8,2,1,51,0,0,O
196000,196,1822,0.04,1742.4,4,2.5,6,0,0,N
116000,116,1352,0.22,9583.2,3,1.5,34,1,0,M
480000,480,4011,0.19,8276.4,3,3,7,1,0,N
345000,345,3056,0.19,8276.4,4,2.5,9,1,0,N
197000,197,2276,0.24,10454.4,3,2,52,1,0,O
265000,265,2166,0.34,14810.4,3,2,40,1,0,M
299900,299.9,2456,0.14,6098.4,3,2,5,1,0,N
224900,224.9,2444,0.14,6098.4,3,2,62,1,0,O
331500,331.5,2626,0.19,8276.4,4,2,34,1,1,M
179900,179.9,1226,0.23,10018.8,3,1,53,0,0,O
204000,204,1368,0.13,5662.8,2,1,96,0,0,VO
355000,355,4659,1.72,74923.2,4,2.5,6,1,0,N
143400,143.4,1625,0.09,3920.4,3,1.5,14,1,0,N
342000,342,2084,5.43,236530.8,3,2,35,1,0,M
219000,219,2007,0.04,1742.4,3,2.5,9,1,0,N
284900,284.9,2952,0.24,10454.4,3,2,62,0,0,O
295000,295,2420,0.08,3484.8,3,2.5,8,1,0,N
265000,265,2352,0.21,9147.6,3,2.5,17,1,0,N
158000,158,1292,5,217800,1,1,53,0,0,O
205000,205,1744,0.12,5227.2,3,2,33,1,0,M
300000,300,3044,1,43560,3,2,33,0,0,M
230000,230,2936,1.03,44866.8,3,1.5,39,1,0,M
223000,223,1726,0.14,6098.4,3,2,34,1,0,M
375000,375,2537,0.17,7405.2,3,2,10,1,0,N
200000,200,1604,0.03,1306.8,3,2.5,9,1,0,N
242350,242.35,2394,0.15,6534,3,2.5,7,1,0,N
358000,358,2986,0.23,10018.8,3,2.5,19,1,0,N
211000,211,1752,0.06,2613.6,3,2.5,7,1,0,N
153000,153,1631,0.15,6534,3,1.5,33,1,0,M
270000,270,2810,1.9,82764,3,2.5,40,0,0,M
247500,247.5,1896,0.24,10454.4,4,2.5,53,1,1,O
201000,201,3398,0.3,13068,4,2.5,53,0,0,O
485000,485,3889,0.23,10018.8,0,2.5,9,0,0,N
299900,299.9,3560,0.32,13939.2,8,3,6,1,0,N
208000,208,1667,0.17,7405.2,3,1.5,30,1,0,M
287000,287,3984,0.16,6969.6,8,4,38,0,0,M
217000,217,1662,0.25,10890,3,1,41,1,1,M
145000,145,1108,0.02,871.2,3,2,5,0,0,N
200000,200,2222,0.19,8276.4,5,2.5,47,1,0,M
234000,234,1597,0.21,9147.6,3,1,35,1,0,M
139000,139,988,0.13,5662.8,2,1,51,0,0,O
168900,168.9,1320,0.16,6969.6,3,1,44,1,0,M
60200,60.2,4152,2.01,87555.6,3,2,17,0,0,N
280000,280,2341,0.13,5662.8,3,2.5,15,1,0,N
176284,176.284,1674,0.09,3920.4,2,2,35,1,0,M
135000,135,2608,3,130680,0,0,63,0,0,O
207500,207.5,2007,0.05,2178,3,2.5,7,1,0,N
215000,215,828,0.02,871.2,2,1,4,0,0,N
300000,300,2404,0.13,5662.8,3,2,6,1,0,N
313588,313.588,2447,0.15,6534,3,1.5,64,1,0,O
500000,500,4023,0.43,18730.8,2,2.5,59,1,1,O
305000,305,3021,0.12,5227.2,3,2.5,5,1,0,N
235000,235,1924,0.12,5227.2,3,2,14,1,0,N
395000,395,4606,5.09,221720.4,4,3.5,33,1,1,M
165000,165,1371,0.14,6098.4,3,1.5,36,1,1,M
150000,150,4301,0.32,13939.2,0,0,71,0,0,O
215000,215,1596,0.04,1742.4,3,2.5,9,1,0,N
540000,540,4264,3.54,154202.4,4,3,25,1,0,M
488500,488.5,3877,0.39,16988.4,4,3,57,0,0,O
212500,212.5,1364,0.17,7405.2,3,2,43,1,0,M
345000,345,4227,0.24,10454.4,5,3,39,1,0,M
278050,278.05,1872,0.18,7840.8,3,2,54,1,0,O
291883,291.883,3693,0.15,6534,5,3,23,1,0,N
266900,266.9,2641,0.5,21780,3,3,104,1,1,VO
205000,205,3296,1.51,65775.6,3,2,33,1,0,M
245000,245,2165,0.33,14374.8,3,1.5,57,1,0,O
539000,539,4049,0.16,6969.6,3,3.5,3,1,0,N
480000,480,3962,0.17,7405.2,4,3,6,1,0,N
280000,280,3350,0.11,4791.6,4,2,85,0,1,VO
229000,229,2104,0.06,2613.6,2,2.5,1,1,0,N
887194,887.194,5945,0.37,16117.2,5,2.5,107,1,1,VO
222000,222,1704,0.36,15681.6,3,1.5,39,1,0,M
389500,389.5,3406,0.14,6098.4,5,2.5,12,1,0,N
310000,310,2304,0.11,4791.6,3,1.5,83,0,0,VO
210000,210,2482,0.23,10018.8,3,1.5,47,1,0,M
204500,204.5,1464,0.28,12196.8,3,1,49,1,0,M
250000,250,2336,0.21,9147.6,3,2,63,1,0,O
180000,180,1712,0.5,21780,3,1,70,1,0,O
282500,282.5,2198,0.25,10890,3,2,47,1,1,M
200000,200,1818,0.12,5227.2,2,1,85,0,0,VO
135000,135,1524,0.09,3920.4,2,1.5,30,1,0,M
415000,415,3768,0.09,3920.4,3,2.5,8,1,0,N
678000,678,5248,0.72,31363.2,5,3.5,7,1,0,N
158000,158,1499,0.04,1742.4,3,2.5,13,1,0,N
260000,260,2814,0.29,12632.4,4,3,31,0,0,M
200000,200,1368,0.2,8712,3,1,46,0,0,M
194000,194,2173,1.01,43995.6,3,2,37,1,0,M
299000,299,2574,0.28,12196.8,4,2.5,33,1,0,M
295000,295,2382,0.16,6969.6,2,2,7,1,0,N
177000,177,1296,0.22,9583.2,2,1,51,1,0,O
242500,242.5,2092,0.07,3049.2,3,2.5,11,1,0,N
100000,100,1412,0.49,21344.4,2,1,91,0,0,VO
310000,310,3720,3.85,167706,3,2.5,21,1,0,N
300000,300,2660,0.36,15681.6,3,3,50,0,0,M
318133,318.133,3108,0.11,4791.6,3,2.5,1,1,0,N
140080,140.08,1800,0.5,21780,2,1,65,1,0,O
234000,234,1796,0.14,6098.4,3,2,19,1,0,N
234000,234,2061,0.26,11325.6,4,2,39,0,0,M
290000,290,3034,0.13,5662.8,3,2.5,5,1,0,N
600000,600,11239,5,217800,3,2.5,10,0,0,N
249000,249,1925,0.14,6098.4,3,2,5,1,0,N
214900,214.9,1556,0.12,5227.2,2,2,40,0,0,M
359000,359,8150,0.12,5227.2,0,0,103,0,0,VO
300000,300,2605,0.13,5662.8,3,2.5,8,1,0,N
112000,112,1334,0.15,6534,3,1,50,1,0,M
200000,200,1726,0.19,8276.4,3,1.5,41,1,0,M
244000,244,3744,0.45,19602,5,2.5,54,0,1,O
159000,159,1805,0.21,9147.6,3,2,14,1,1,N
560000,560,4163,0.42,18295.2,4,3.5,7,1,0,N
190000,190,1819,0.2,8712,3,1.5,50,1,0,M
500000,500,3564,2.01,87555.6,3,2,6,1,0,N
153000,153,648,0.11,4791.6,1,1,74,0,1,O
13000,13,938,0,0,0,1,18,0,0,N
324900,324.9,3131,0.2,8712,3,2.5,21,1,0,N
369000,369,2762,0.37,16117.2,3,3,21,0,0,N
193000,193,1370,0.22,9583.2,3,1,52,0,0,O
228700,228.7,1694,0.07,3049.2,2,2,34,1,0,M
295000,295,3023,1.08,47044.8,4,3.5,46,1,0,M
182750,182.75,1488,0.15,6534,3,1,61,1,0,O
341000,341,2884,0.18,7840.8,3,2,34,1,0,M
433000,433,3904,0.22,9583.2,4,3.5,22,1,0,N
212750,212.75,1752,0.24,10454.4,3,1.5,35,1,0,M
220000,220,1679,0.19,8276.4,3,1.5,42,1,0,M
200000,200,1901,0.09,3920.4,3,2.5,17,1,0,N
242500,242.5,2089,0.11,4791.6,3,2.5,9,1,0,N
155000,155,1688,0.35,15246,2,1,54,1,1,O
