class,FBtime
FR,60
FR,0
FR,60
FR,0
FR,0
FR,0
FR,0
FR,30
FR,7.5
FR,45
FR,3.75
FR,0
FR,0
FR,135
FR,0
FR,30
FR,0
FR,90
FR,142.5
FR,0
FR,7.5
FR,0
FR,15
FR,62.5
FR,52.5
FR,30
FR,30
FR,0
FR,120
FR,0
FR,2.5
FR,0
FR,90
FR,90
FR,150
FR,30
FR,45
FR,15
FR,67.5
FR,90
FR,90
FR,0
FR,0
FR,67.5
FR,22.5
FR,30
FR,15
FR,3.5
FR,0
FR,30
FR,7.5
FR,45
FR,75
FR,15
FR,15
FR,0
FR,90
FR,22.5
FR,45
FR,225
FR,60
FR,0
FR,0
FR,3
FR,30
FR,150
FR,90
FR,0
FR,45
FR,45
FR,135
FR,45
FR,30
FR,90
FR,22.5
FR,45
FR,105
FR,30
FR,0
FR,30
FR,15
FR,15.25
FR,30
FR,0
FR,180
FR,31.25
FR,135
FR,0
FR,225
FR,90
FR,97.5
FR,90
FR,45
FR,7.5
FR,0
FR,7.5
FR,45
FR,11.25
FR,7.5
FR,0
FR,0
FR,0
FR,90
FR,90
FR,135
FR,45
FR,135
FR,0
FR,22.5
FR,0
FR,90
FR,15
FR,180
FR,150
FR,37.5
FR,0
FR,0
FR,90
FR,0
FR,0
FR,240
FR,90
FR,20
FR,30
FR,27.5
FR,0
FR,180
FR,90
FR,60
FR,22.5
FR,7.5
FR,78.75
FR,150
FR,60
FR,180
FR,135
FR,45
FR,30
FR,0
FR,40.5
FR,0
FR,0
FR,0
FR,0
FR,20
FR,135
FR,97.5
FR,22.5
FR,0
FR,0
FR,0
FR,15
FR,157.5
FR,90
FR,60
FR,90
FR,270
FR,0
FR,0
FR,30
FR,0
FR,124
FR,3.75
FR,30
FR,299
FR,0
FR,180
FR,15
FR,22.5
FR,300
FR,120
FR,45
FR,67.5
FR,0
FR,60
FR,301
FR,135
FR,90.5
FR,90
FR,30
FR,0
FR,0
FR,0
FR,120
FR,0
FR,67.5
FR,90
FR,135
FR,120
FR,135
FR,30
FR,90
FR,90
FR,30
FR,195
FR,60
FR,37.5
FR,0
FR,5
FR,2.5
FR,90
FR,270
FR,7.5
FR,7.5
FR,292.5
FR,35
FR,60
FR,0
FR,15
FR,157.5
FR,30
FR,225
FR,75
FR,157.5
FR,45
FR,15
FR,10
FR,180
FR,0
FR,90
FR,157.5
FR,45
FR,45
FR,0
FR,14
FR,0
FR,75
FR,17.5
FR,135
FR,90.75
FR,0
FR,240
FR,90
FR,60
FR,0
FR,45
FR,45
FR,15
FR,30
FR,0
FR,45
FR,67.5
FR,0
FR,180.5
FR,46.5
FR,60
FR,67.5
FR,90
FR,2.5
FR,90
FR,0
FR,90
FR,30
FR,15
FR,52.5
FR,26.25
FR,112.5
FR,0
FR,15
FR,120
FR,0
FR,11.25
FR,15
FR,30
FR,0
FR,157.5
FR,60
FR,120
FR,30
FR,30
FR,180
FR,300
FR,90
FR,0
FR,0
FR,90
FR,5
FR,90
FR,180
FR,7.5
FR,30
FR,7.5
FR,12.5
FR,157.5
FR,180
FR,112.5
FR,7.5
FR,60
FR,37.5
FR,225
FR,135
FR,90
FR,60
FR,7.5
FR,90
FR,180
FR,0
FR,33.75
FR,5
FR,60
FR,15
FR,90
FR,60
FR,150
FR,15
FR,120
FR,150
FR,30
FR,5
FR,60
FR,0
FR,120
FR,0
FR,7.5
FR,56.25
