Student,group,response
1,control,557
1,phone,636
2,control,572
2,phone,623
3,control,457
3,phone,615
4,control,489
4,phone,672
5,control,532
5,phone,601
6,control,506
6,phone,600
7,control,648
7,phone,542
8,control,485
8,phone,554
9,control,610
9,phone,543
10,control,444
10,phone,520
11,control,626
11,phone,609
12,control,626
12,phone,559
13,control,426
13,phone,595
14,control,585
14,phone,565
15,control,487
15,phone,573
16,control,436
16,phone,554
17,control,642
17,phone,626
18,control,476
18,phone,501
19,control,586
19,phone,574
20,control,565
20,phone,468
21,control,617
21,phone,578
22,control,528
22,phone,560
23,control,578
23,phone,525
24,control,472
24,phone,647
25,control,485
25,phone,456
26,control,539
26,phone,688
27,control,523
27,phone,679
28,control,479
28,phone,960
29,control,535
29,phone,558
30,control,603
30,phone,482
31,control,512
31,phone,527
32,control,449
32,phone,536
