country,co2,region
Aruba,11.65703,Central/South America
Cayman Islands,11.53583,Central/South America
Antigua and Barbuda,8.32444,Central/South America
Puerto Rico,7.69556,Central/South America
Martinique,6.97285,Central/South America
Venezuela,6.60959,Central/South America
Saint Kitts and Nevis,6.01603,Central/South America
Guadeloupe,5.20555,Central/South America
Barbados,5.02849,Central/South America
"Virgin Islands, British",4.84334,Central/South America
Chile,4.73522,Central/South America
Panama,4.59475,Central/South America
Argentina,4.56324,Central/South America
French Guiana,4.50373,Central/South America
Suriname,4.22065,Central/South America
Turks and Caicos Islands,3.47009,Central/South America
Jamaica,3.33176,Central/South America
Saint Lucia,2.63001,Central/South America
Cuba,2.56242,Central/South America
Uruguay,2.51655,Central/South America
Grenada,2.48075,Central/South America
Brazil,2.40597,Central/South America
Guyana,2.24582,Central/South America
Dominican Republic,2.07296,Central/South America
Ecuador,1.94118,Central/South America
Dominica,1.94012,Central/South America
Saint Vincent/Grenadines,1.9148,Central/South America
Belize,1.67012,Central/South America
Colombia,1.5909,Central/South America
Costa Rica,1.48709,Central/South America
Bolivia,1.38123,Central/South America
Peru,1.28928,Central/South America
El Salvador,1.10558,Central/South America
Honduras,0.97929,Central/South America
Nicaragua,0.8885,Central/South America
Guatemala,0.84686,Central/South America
Paraguay,0.61725,Central/South America
Haiti,0.21637,Central/South America
Belgium,12.5642,Europe
Iceland,12.24446,Europe
Finland,10.27826,Europe
Norway,9.77633,Europe
Germany,9.18705,Europe
Czech Republic,9.06719,Europe
Greece,8.48487,Europe
Cyprus,8.4809,Europe
Denmark,8.43865,Europe
Austria,8.17572,Europe
Poland,8.00984,Europe
Serbia,8.00186,Europe
United Kingdom,7.92364,Europe
Slovenia,7.91461,Europe
Ireland,7.82884,Europe
Bulgaria,7.39317,Europe
Spain,6.81521,Europe
Italy,6.57096,Europe
Slovakia,6.36888,Europe
Sweden,5.84745,Europe
France,5.73277,Europe
Bosnia and Herzegovina,5.71694,Europe
Switzerland,5.52401,Europe
Portugal,5.03461,Europe
Croatia,4.98483,Europe
Hungary,4.96818,Europe
Romania,3.9348,Europe
Turkey,3.76129,Europe
Macedonia,3.34409,Europe
Montenegro,3.27316,Europe
Albania,1.39672,Europe
