Country Name,Country Code,CO2
Austria,AUT,8.0
Belgium,BEL,10.0
Bulgaria,BGR,6.0
Croatia,HRV,4.7
Cyprus,CYP,7.0
Czech Republic,CZE,10.7
Denmark,DNK,8.3
Estonia,EST,13.7
Finland,FIN,11.5
France,FRA,5.6
Germany,DEU,9.1
Greece,GRC,7.7
Hungary,HUN,5.1
Ireland,IRL,8.8
Italy,ITA,6.7
Latvia,LVA,3.6
Lithuania,LTU,4.4
Luxembourg,LUX,21.4
Malta,MLT,6.2
Netherlands,NLD,11.0
Poland,POL,8.3
Portugal,PRT,5.0
Romania,ROM,3.9
Slovak Republic,SVK,6.7
Slovenia,SVN,7.5
Spain,ESP,5.8
Sweden,SWE,5.6
United Kingdom,GBR,7.9
