Country Name,Country Code,Region,fertility2017
Aruba,ABW,Latin America & Caribbean,1.798
Afghanistan,AFG,South Asia,4.477
Angola,AGO,Sub-Saharan Africa,5.623
Albania,ALB,Europe & Central Asia,1.71
United Arab Emirates,ARE,Middle East & North Africa,1.731
Argentina,ARG,Latin America & Caribbean,2.277
Armenia,ARM,Europe & Central Asia,1.604
Antigua and Barbuda,ATG,Latin America & Caribbean,2.04
Australia,AUS,East Asia & Pacific,1.765
Austria,AUT,Europe & Central Asia,1.53
Azerbaijan,AZE,Europe & Central Asia,1.9
Burundi,BDI,Sub-Saharan Africa,5.615
Belgium,BEL,Europe & Central Asia,1.68
Benin,BEN,Sub-Saharan Africa,4.906
Burkina Faso,BFA,Sub-Saharan Africa,5.271
Bangladesh,BGD,South Asia,2.076
Bulgaria,BGR,Europe & Central Asia,1.54
Bahrain,BHR,Middle East & North Africa,2.009
"Bahamas, The",BHS,Latin America & Caribbean,1.758
Bosnia and Herzegovina,BIH,Europe & Central Asia,1.375
Belarus,BLR,Europe & Central Asia,1.541
Belize,BLZ,Latin America & Caribbean,2.475
Bermuda,BMU,North America,1.61
Bolivia,BOL,Latin America & Caribbean,2.839
Brazil,BRA,Latin America & Caribbean,1.711
Barbados,BRB,Latin America & Caribbean,1.799
Brunei Darussalam,BRN,East Asia & Pacific,1.861
Bhutan,BTN,South Asia,2.02
Botswana,BWA,Sub-Saharan Africa,2.683
Central African Republic,CAF,Sub-Saharan Africa,4.796
Canada,CAN,North America,1.4961
Switzerland,CHE,Europe & Central Asia,1.54
Channel Islands,CHI,Europe & Central Asia,1.483
Chile,CHL,Latin America & Caribbean,1.766
China,CHN,East Asia & Pacific,1.631
Cote d'Ivoire,CIV,Sub-Saharan Africa,4.846
Cameroon,CMR,Sub-Saharan Africa,4.639
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,6.018
"Congo, Rep.",COG,Sub-Saharan Africa,4.599
Colombia,COL,Latin America & Caribbean,1.834
Comoros,COM,Sub-Saharan Africa,4.275
Cabo Verde,CPV,Sub-Saharan Africa,2.299
Costa Rica,CRI,Latin America & Caribbean,1.768
Cuba,CUB,Latin America & Caribbean,1.722
Curacao,CUW,Latin America & Caribbean,1.5
Cyprus,CYP,Europe & Central Asia,1.338
Czech Republic,CZE,Europe & Central Asia,1.63
Germany,DEU,Europe & Central Asia,1.57
Djibouti,DJI,Middle East & North Africa,2.785
Denmark,DNK,Europe & Central Asia,1.79
Dominican Republic,DOM,Latin America & Caribbean,2.392
Algeria,DZA,Middle East & North Africa,2.709
