Athlete,200MetersMinutes,JavelinMeters
Akela Jones,24.35,42
Alina Fodorova,25.44,35.44
Alysbeth Felix,24.74,40.17
Anouk Vetter,23.93,48.42
Antoinette Nana Djimou Ida,25.07,48.76
Barbara Nwaba,24.77,46.85
Brianne Theisen Eaton,24.18,47.36
Carolin Schäfer,23.99,47.99
Claudia Rath,24.48,39.39
Eliška Klu?inová,25.37,46.73
Evelis Aguilar,24.12,46.9
Györgyi Zsivoczky-Farkas,25.38,48.07
Hanna Kasyanova,24.6,39.1
Heather Miller-Koch,24.97,40.25
Ivona Dadic,24.6,46.08
Jennifer Oeser,24.99,47.22
Jessica Ennis-Hill,23.49,46.06
Katarina Johnson-Thompson,23.26,36.36
Kate?ina Cachová,24.32,37.77
Kendell Williams,24.09,40.93
Laura Ikauniece-Admidina,23.76,55.93
Nadine Broersen,24.94,50.8
Nadine Visser,24.34,42.48
Nafissatou Thiam,25.1,53.13
Sofia Yfantidou,26.32,54.57
Uhunoma Osazuwa,24.67,33.42
Vanessa Chefer,24.11,45.05
Xénia Krizsán,25.24,49.78
Yorgelis Rodríguez,24.26,48.89
