Freshmen,Sophomores
60,60
0,120
60,30
0,0
0,0
0,300
0,15
30,45
7.5,2.5
45,0
3.75,17.5
0,10
0,30
135,15
0,22.5
30,0
0,90
90,0
142.5,30
0,82.5
7.5,90
0,52.5
15,30
62.5,15
52.5,0
30,22.5
30,30
0,6.5
120,135
0,45
2.5,30
0,45
90,5
90,0
150,0
30,30
45,0
15,30
67.5,30
90,30
90,30
0,90
0,0
67.5,300
22.5,15
30,247.5
15,180
3.5,30
0,30
30,0
7.5,18
45,3.75
75,10
15,45
15,3.75
0,17.5
90,14
22.5,22.5
45,45
225,30
60,0
0,0
0,20
3,30.5
30,30
150,30
90,0
0,90
45,45
45,121
135,15
45,45
30,90
90,135
22.5,90
45,15
105,0
30,3.75
0,0
30,90
15,157.5
15.25,0
30,120
0,60
180,0
31.25,15
135,90
0,7.5
225,45
90,30
97.5,90
90,90
45,45
7.5,30
0,90
7.5,30
45,0
11.25,75
7.5,120
0,0
0,0
0,0
90,1.25
90,30
135,0
45,60
135,90
0,120
22.5,2.5
0,30
90,120
15,15.25
180,30
150,90
37.5,46.5
0,30
0,15
90,90
0,0
0,0
240,30
90,90
20,30
30,0
27.5,30
0,112.5
180,135
90,47.5
60,15
22.5,90
7.5,90
78.75,30
150,60
60,60.5
180,60
135,0
45,7.5
30,30
0,315
40.5,30
0,90
0,0
0,45
0,90
20,45
135,90
97.5,268
22.5,60
0,15
0,210
0,240
15,135
157.5,60
90,135
60,45
90,182.25
270,30
0,30
0,0
30,225
0,270
124,25.5
3.75,97.5
30,90
299,30
0,60
180,90
15,0
22.5,3.75
300,56.25
120,60
45,15
67.5,30
0,0
60,0
301,90
135,30
90.5,60
90,7.5
30,0
0,2.5
0,30
0,60
120,0
0,92.5
67.5,135
90,30
135,0
120,2.5
135,0
30,0
90,75
90,3.75
30,7.5
195,112.5
60,30
37.5,7.5
0,60
5,45
2.5,90
90,0
270,157.5
7.5,90
7.5,180
292.5,7.5
35,45
60,17.5
0,225
15,0.5
157.5,60
30,7.5
225,15
75,60
157.5,45
45,30
15,0
10,45
180,20
0,120
90,45.75
157.5,0
45,60
45,0
0,0
14,0
0,21
75,2.5
17.5,180
135,180
90.75,15
0,15
240,45
90,60
60,60
0,45
45,30
45,90
15,11.25
30,0
0,45
45,60
67.5,120.5
0,180
180.5,180
46.5,135
60,90
67.5,45
90,17.5
2.5,15
90,45
0,0
90,22.5
30,15
15,120
52.5,0
26.25,240
112.5,0
0,0
15,90
120,71
0,90
11.25,0
15,45
30,300
0,360
157.5,45
60,0
120,0
30,90
30,120
180,202.5
300,100.5
90,30
0,112.5
0,39
90,60
5,20
90,10
180,60
7.5,15
30,0
7.5,37.5
12.5,15
157.5,0
180,135
112.5,30.5
7.5,30
60,0
37.5,5.5
225,315
135,240
90,60
60,30
7.5,45
90,67.5
180,135.75
0,30
33.75,60
5,0
60,45
15,15
90,11.25
60,0
150,180
15,90
120,60
150,0
30,0
5,0
60,0
0,15
120,105
0,240
7.5,225
56.25,7.5
7.5,61.5
90,135
180,90
75,135
30,30
180,30
75,0
270,60
135,7.5
90,15
0,15
90,120
90,0
240,0
15,45
0,90
90,135
15,45
15.25,0
2.5,45
30.25,30
7.5,30
30,120
120,0
90,15
0,90
187.5,0
90,15
120,135
300,0
150,0
15,315
30,
0,
135,
112.5,
22.5,
67.5,
105,
205.5,
30,
15,
90,
0,
60,
0,
112.5,
105,
60,
30,
7.5,
18.75,
0,
90,
202.5,
45,
120,
15.25,
180,
0,
0,
314.25,
135,
180,
60,
191.25,
255,
15,
30,
135,
37.5,
135,
15,
8.75,
90,
3.75,
180,
90,
15.75,
0,
5,
90,
5,
135,
0,
3.75,
0,
180,
157.5,
0,
180,
0,
3.75,
67.5,
45,
3.75,
95,
15,
15,
150,
0,
37.5,
146.25,
0,
30,
0,
180,
60,
0,
0,
15,
0,
90,
0,
180,
420,
15,
0,
180,
120,
45,
15,
11.25,
30,
0,
