BRYEAR,BRHR,RMYEAR,RMHR,HAYEAR,HAHR,MMYEAR,MMHR,SSYEAR,SSHR,BBYEAR,BBHR
1914,0,1957,14,1954,13,1986,3,1989,4,1986,16
1915,4,1958,28,1955,27,1987,49,1990,15,1987,25
1916,3,1959,16,1956,26,1988,32,1991,10,1988,24
1917,2,1960,39,1957,44,1989,33,1992,8,1989,19
1918,11,1961,61,1958,30,1990,39,1993,33,1990,33
1919,29,1962,33,1959,39,1991,22,1994,25,1991,25
1920,54,1963,23,1960,40,1992,42,1995,36,1992,34
1921,59,1964,26,1961,34,1993,9,1996,40,1993,46
1922,35,1965,8,1962,45,1994,9,1997,36,1994,37
1923,41,1966,13,1963,44,1995,39,1998,66,1995,33
1924,46,1967,9,1964,24,1996,52,1999,63,1996,42
1925,25,1968,5,1965,32,1997,58,2000,50,1997,40
1926,47,,,1966,44,1998,70,2001,64,1998,37
1927,60,,,1967,39,1999,65,2002,49,1999,34
1928,54,,,1968,29,2000,32,2003,40,2000,49
1929,46,,,1969,44,2001,29,2004,35,2001,73
1930,49,,,1970,38,,,2005,14,2002,46
1931,46,,,1971,47,,,2006,0,2003,45
1932,41,,,1972,34,,,,,2004,45
1933,34,,,1973,40,,,,,2005,5
1934,22,,,1974,20,,,,,2006,26
1935,6,,,1975,12,,,,,,
,,,,1976,10,,,,,,
