state,percent not covered
Alabama,16.9
Alaska,17.7
Arizona,19.6
Arkansas,19.2
California,20.0
Colorado,15.3
Connecticut,12.0
Delaware,13.4
District of Columbia,12.4
Florida,22.4
Georgia,20.5
Hawaii ,8.2
Idaho,15.2
Illinois,14.8
Indiana,14.2
Iowa,11.4
Kansas,13.3
Kentucky,16.2
Louisiana,16.0
Maine,10.2
Maryland,14.0
Massachusetts,4.4
Michigan,13.8
Minnesota,8.8
Mississippi,17.6
Missouri,15.3
Montana,15.4
Nebraska,11.5
Nevada,20.8
New Hampshire,10.5
New Jersey,15.8
New Mexico,21.7
New York,14.8
North Carolina,18.0
North Dakota,10.7
Ohio,14.3
Oklahoma,18.1
Oregon,17.7
Pennsylvania,11.4
Rhode Island,12.3
South Carolina,17.0
South Dakota,13.5
Tennessee,15.4
Texas,26.1
Utah,14.8
Vermont,9.9
Virginia,13.0
Washington,12.9
West Virginia,14.0
Wisconsin,9.5
Wyoming,15.8
