ATHLETE,SPORT,AGE,HT (IN),WT (lbs),BF%,BMI,SIT-UP,40-YD (sec),VJ (IN),SIT/REACH (in),BP60,maxBP (lbs),LP200,maxLP (lbs),MB (IN),SR (sec)
1,SB,14,60,108,21.5,21.1,37,5.81,15.5,21,10,80,15,295,131,31.73
2,VB/S,15,68,119,15.5,18.1,36,5.6,15,25,12,85,35,330,109,31.53
3,VB,15,67.25,152,27.1,23.6,26,6.02,19.5,17,20,85,23,410,132.5,32.33
4,SB/BB,14,67,158,29.2,24.8,21,6.28,16.5,23,5,65,18,340,100.5,34.98
5,SB/TR,14,68,155,27.2,23.6,30,6.29,16,18,12,95,27,380,112.5,32.75
6,SB/TR,15,68,128,21.4,19.5,29,5.8,16.5,20,10,75,19,370,120,34.02
7,VB,17,67,170,28.9,27.1,27,6.7,16,25,13,90,35,385,116,33.24
8,BB,15,67.5,129,19.7,19.9,23,6.12,16.5,16,8,85,11,270,115.5,31.59
9,VB,15,67.25,142,21.7,22.1,32,6.32,13,25.5,14,90,24,390,103,34.32
10,SB,14,65,175,31.9,29.1,10,6.34,16,19,15,105,25,380,133.25,35.23
11,SB/BB,14,61,99,18.1,18.7,39,5.67,19.5,13,3,65,8,260,107,31.42
12,SB,14,63,116,23.8,20.5,25,6.01,17,17,5,65,11,270,106,32.97
13,SB,16,65,132,24,22,27,6.13,15,15,5,70,13,285,100.5,32.98
14,SB/BB,14,64.25,128,21.6,21.7,37,5.78,18,20,10,85,29,370,115.5,31.6
15,SB,16,63,132,23.9,23.4,31,5.84,18,16,15,80,30,370,122.5,31.59
16,VB/BB,14,70,151,26.3,21.7,11,6.33,14.5,21,2,65,20,365,105.25,34.1
17,VB,16,65,128,25,21.3,30,6.31,15,24,14,75,20,430,102,34.12
18,SB,14,67,162,27.7,25.8,30,6.36,14,20,9,75,25,385,121.5,36.1
19,BB,16,66.5,138,23.1,21.9,29,5.73,14.5,21.5,12,90,19,340,125,32.43
20,BB,14,65,121,20.9,20.1,33,6.12,16.5,20,5,70,12,285,115,31.8
21,VB,16,73,200,30.5,26.4,30,6.39,17,23,12,85,35,420,119.5,34.01
22,SB,15,67,188,32.8,29.4,17,6,14.5,18.5,6,75,30,390,99.75,37.9
23,VB,15,68.75,139,20.7,20.7,32,6.25,16,24,16,90,18,355,110.5,31.92
24,SB,17,67,141,24.5,22.1,33,5.98,18.5,23,14,95,35,380,123.5,32.43
25,SB/BB,15,65.5,167,29.6,27.4,32,5.38,19.5,16.5,17,105,35,380,131,30.7
26,VB/BB,15,68,162,27.5,24.6,20,5.59,16.5,21.5,10,90,30,370,107,31.18
27,SB,16,64,133,24.1,22.8,22,6.52,17,20,6,75,26,355,101.25,32.91
28,SB,15,63.25,127,23.9,22.1,28,5.93,17,16.5,4,60,17,300,111,32.87
29,VB,15,65,118,21.3,19.6,26,5.97,13.5,18,2,70,13,295,91.5,33.58
30,VB,15,61.5,129,26.6,24,32,6.18,17,17,30,115,30,375,128.5,35.72
31,SB/BB,16,66,160,31.3,25.8,32,5.87,12,22,20,80,35,480,130.5,34.26
32,SB,14,66.5,117,20.2,18.6,28,5.19,15,18,3,60,12,290,98,33.58
33,SB,14,64,170,33.3,29.2,23,6.25,13,15.5,4,85,24,340,87.75,34.1
34,BB,16,66,138,26.3,22.3,34,6.11,13.5,19,2,65,10,280,91.5,34.01
35,TR/BB,14,64,108,18.8,18.5,21,6.5,12,17,7,65,12,290,93.5,33.9
36,VB,17,69.25,208,34.6,30.5,12,6.34,15.5,18,20,95,35,490,113.5,34.71
37,VB,14,67,137,23.2,21.4,16,6.22,11.5,20,13,65,23,345,105,34.05
38,VB,15,65.25,112,17.8,18.5,30,6.39,12.5,18,3,65,11,280,94,33.74
39,SB,14,62,109,17.8,19.9,35,5.61,15.5,17,4,65,10,310,97.5,31.93
40,SB/BB,17,66,128,21,20.7,30,5.72,17,18,12,70,35,385,105.5,32.88
41,VB/T,16,64,119,20.4,20.4,24,6.8,15,23,8,80,15,335,97.75,31.47
42,VB/BB,14,68,154,29.6,23.4,20,5.84,13.5,16.5,6,80,15,310,120.5,34.77
43,SB,14,62.5,171,35.7,30.8,19,6.65,10.5,22,12,75,27,350,122.5,39.18
44,TR,14,65,115,20.5,19.2,26,5.64,11.5,21,8,65,13,270,103.5,35.1
45,SB,14,64.5,170,33.2,28.7,23,6.33,14,20,10,75,32,360,95.25,35.4
46,BB/CC/TR,14,64,105,18.7,18,39,5.4,19.5,21,11,80,11,300,109.5,30.82
47,SB/TR,15,64,124,23.7,21.4,31,5.7,16,22,4,75,11,260,110.5,31.49
48,SB/BB,16,64.5,127,24.5,21.5,32,5.84,17,17,4,70,12,280,115,31.5
49,VB,14,64.75,118,23.2,19.8,26,6.64,13.5,18.5,4,65,15,340,88,33.24
50,VB,17,71,153,22.2,21.3,35,5.81,19,26,20,85,26,500,128.25,32.43
51,SB,15,63.5,124,22.4,21.3,35,6.14,13,17.5,11,80,15,305,111,32.8
52,SB,14,65,165,34,30.1,18,6.45,14,20,11,75,29,350,121.5,35.1
53,VB/S,18,68,135,28.3,22.2,25,5.84,17,23,30,105,32,400,129.5,33.01
54,SB,18,65,135,29.3,23.2,29,5.59,16.5,23,35,115,26,390,130.5,31.97
55,SB/TR,18,68,194,34.1,29.5,16,6.56,13,16,20,80,35,480,123,34.02
56,SB,16,63,129,24.3,22.9,26,5.54,17,24,13,90,30,380,118.5,32.56
57,SB,17,63,130,24.1,23,29,5.84,17,24,15,90,28,380,121.25,32.98
