RANK,TROPICAL CYCLONE,YEAR,Category,Damage
1,KATRINA (LA/MS/FL),2005,3,105840
2,ANDREW (SE FL/SE LA),1992,5,45561
3,IKE (Upper TX/SW LA),2008,2,27790
4,WILMA (SW/SE FL),2005,3,20587
5,IVAN (NW FL/AL),2004,3,19832
6,CHARLEY (SW FL),2004,4,15820
7,HUGO (SC),1989,4,12775
8,RITA (LA/TX/FL),2005,3,11797
9,AGNES (FL/NE U.S.),1972,1,11760
10,BETSY (SE FL/SE LA),1965,3,11227
11,ALLISON (N TX),2001, TS,10998
12,FRANCES (SE FL),2004,2,10018
13,CAMILLE (MS/SE LA/VA),1969,5,9282
14,FLOYD (Mid Atlc & NE U.S.),1999,2,9225
15,JEANNE (SE FL),2004,3,8072
16,OPAL (NW FL/AL),1995,3,7729
17,DIANE (NE U.S.),1955,1,7408
18,FREDERIC (AL/MS),1979,3,6571
19,New England    ,1938,3,6325
20,FRAN (NC),1996,3,6140
21,ISABEL (NC/VA),2003,2,6112
22,CELIA (S TX),1970,3,5918
23,NE U.S.,1944,3,5706
24,ALICIA (N TX)  ,1983,3,4569
25,GUSTAV (LA),2008,2,4347
26,CAROL (NE U.S.),1954,3,4175
27,"GEORGES (FL, LA, MS)",1998,2,3860
28,JUAN (LA),1985,1,3238
29,DONNA (FL/Eastern U.S.),1960,4,3215
30,"BOB (NC, NE U.S)",1991,2,2703
