country,total,male,female
Belgium,8.4,8.7,8.2
Bulgaria,13,13.9,11.8
Czech Republic,7,5.9,8.3
Denmark,7,6.7,7.3
Germany,5.3,5.6,5
Estonia,8.6,9.1,8.2
Ireland,13.1,15,10.7
Greece,27.3,24.3,31.3
Spain,26.4,25.8,27
France,10.3,10.4,10.2
Croatia,17.2,17.8,16.6
Italy,12.2,11.5,13.1
Cyprus,15.9,16.6,15.2
Latvia,11.9,12.6,11.1
Lithuania,11.8,13.1,10.5
Luxembourg,5.8,5.4,6.4
Hungary,10.2,10.2,10.2
Malta,6.5,6.6,6.4
Netherlands,6.7,7.1,6.3
Austria,4.9,4.9,4.9
Poland,10.3,9.7,11.1
Portugal,16.5,16.4,16.6
Romania,7.3,7.9,6.6
Slovenia,10.1,9.5,10.9
Slovakia,14.2,14,14.5
Finland,8.2,8.8,7.5
Sweden,8,8.2,7.8
United Kingdom,7.5,8,7
