Person,Sex,Age,Race,Educ,Income,Testimony,InstructionType,Verdict
1,Female,1952,White,Some college credit,"$60,000 to $69,999",weak,RI,not guilty
2,Female,1978,White,High school graduate (diploma or GED),"$30,000 to $39,999",strong,RI,not guilty
3,Female,1958,White,Some college credit,"$60,000 to $69,999",strong,NJ,not guilty
4,Female,1992,White,Some college credit,"$80,000 to $89,999",weak,NJ,not guilty
5,Male,1984,White,"Bachelor's degree (e.g., BA, AB, BS)","$60,000 to $69,999",weak,NJ,not guilty
6,Female,1955,White,High school graduate (diploma or GED),"$20,000 to $29,999",strong,RI,not guilty
7,Female,1949,White,"Associate degree (e.g., AA, AS)","$10,000 to 19,999",strong,RI,not guilty
8,Female,1983,White,High school graduate (diploma or GED),"$30,000 to $39,999",weak,RI,guilty
9,Male,1970,White,"Bachelor's degree (e.g., BA, AB, BS)","$50,000 to $59,999",weak,RI,not guilty
10,Female,1987,American Indian or Alaskan Native,"Associate degree (e.g., AA, AS)","$40,000 to $49,999",strong,RI,not guilty
11,Male,1985,White,"Professional degree (e.g., MD, DDS, JD)","$40,000 to $49,999",strong,NJ,not guilty
12,Female,1981,White,"Bachelor's degree (e.g., BA, AB, BS)","$150,000 to $199,999",strong,RI,not guilty
13,Male,1954,White,Some college credit,"$60,000 to $69,999",weak,RI,guilty
14,Male,1983,White,Some college credit,"$60,000 to $69,999",weak,NJ,not guilty
15,Female,1983,Black or African American,Some college credit,"Less than $10,000",weak,RI,not guilty
16,Female,1973,White,"Bachelor's degree (e.g., BA, AB, BS)","$40,000 to $49,999",weak,NJ,not guilty
17,Female,1979,White,"Bachelor's degree (e.g., BA, AB, BS)","$60,000 to $69,999",strong,NJ,not guilty
18,Female,1954,White,"Bachelor's degree (e.g., BA, AB, BS)","$20,000 to $29,999",strong,NJ,not guilty
19,Female,1978,White,High school graduate (diploma or GED),"$10,000 to 19,999",weak,RI,not guilty
20,Male,1989,White,High school graduate (diploma or GED),"$30,000 to $39,999",weak,NJ,not guilty
21,Female,1937,White,Some college credit,"$20,000 to $29,999",strong,RI,not guilty
22,Female,1977,White,Some college credit,"$20,000 to $29,999",strong,NJ,not guilty
23,Male,1963,White,Some college credit,"$30,000 to $39,999",weak,NJ,not guilty
24,Male,1960,White,"Bachelor's degree (e.g., BA, AB, BS)","$60,000 to $69,999",strong,NJ,not guilty
25,Female,1972,White,High school graduate (diploma or GED),"$50,000 to $59,999",strong,RI,not guilty
26,Male,1977,White,"Bachelor's degree (e.g., BA, AB, BS)","$60,000 to $69,999",weak,NJ,not guilty
