Type,Food,Decor,Service,Cost
Italien,29,17,22,28
Italien,28,21,24,40
Italien,28,24,28,59
Italien,28,28,28,71
Italien,28,24,26,42
Italien,28,24,26,42
Italien,27,25,27,46
Italien,27,24,24,57
Italien,27,19,22,17
Italien,27,22,24,55
Italien,27,25,25,50
Italien,26,23,23,41
Italien,26,23,23,53
Italien,26,18,24,28
Italien,26,24,23,55
Italien,26,21,23,19
Italien,26,19,22,30
Italien,26,19,22,30
Italien,26,14,22,9
Italien,26,24,24,61
Italien,25,25,25,49
Italien,25,25,25,49
Italien,25,21,23,54
Italien,25,20,23,37
Italien,25,22,24,39
Italien,25,23,23,49
Italien,25,16,21,41
Italien,25,21,21,36
Italien,25,22,23,25
Italien,25,20,23,48
Italien,25,22,23,30
Italien,25,17,21,31
Italien,25,22,23,42
Italien,25,22,23,29
Italien,25,22,23,29
Italien,25,22,24,29
Italien,25,24,24,58
Italien,25,19,19,33
Italien,25,18,22,14
Italien,25,18,22,14
Italien,24,22,23,33
Italien,24,22,22,31
Italien,24,16,22,17
Italien,24,22,21,39
Italien,24,24,23,43
Italien,24,24,23,43
Italien,24,20,23,40
Italien,24,20,23,40
Italien,24,14,23,15
Italien,24,21,23,34
Italien,24,18,23,32
Italien,24,18,22,27
Italien,24,21,21,32
Italien,24,16,24,20
Italien,24,16,24,20
Italien,24,16,24,20
Italien,24,23,23,32
Italien,24,21,22,29
Italien,24,21,22,29
Italien,24,22,22,30
Italien,22,20,21,19
Italien,22,20,21,19
Italien,22,20,21,19
Italien,22,20,21,19
Italien,22,20,21,19
Italien,22,20,21,19
Italien,22,20,21,19
Italien,22,20,21,19
Italien,22,15,20,13
Italien,22,22,20,29
Italien,22,19,20,22
Italien,22,21,22,30
Italien,22,21,22,30
Italien,22,21,22,30
Italien,22,21,22,30
Italien,22,17,21,37
Italien,22,22,21,25
Italien,22,22,21,25
Italien,22,18,19,22
Italien,21,18,22,31
French,28,24,26,72
French,28,25,27,59
French,28,27,27,97
French,28,24,27,57
French,28,27,26,66
French,27,26,26,86
French,26,25,25,53
French,26,23,26,57
French,26,23,23,45
French,25,24,24,35
French,25,23,23,38
French,25,22,24,63
French,25,21,25,62
French,24,22,23,46
French,24,23,23,40
French,24,23,23,40
French,24,23,23,40
French,24,25,23,38
French,24,22,25,50
French,24,23,22,50
French,24,23,22,57
French,23,20,22,31
French,23,22,23,47
French,23,20,21,39
French,23,20,21,39
French,23,20,21,39
French,23,20,21,39
French,23,24,23,42
French,21,22,22,40
French,21,17,20,47
French,21,23,20,47
American,27,23,26,51
American,27,24,25,58
American,27,23,24,39
American,27,26,25,41
American,27,23,25,46
American,27,23,25,90
American,27,27,27,49
American,26,23,25,53
American,26,21,25,46
American,26,24,25,33
American,26,25,25,63
American,26,16,20,20
American,26,19,21,22
American,26,26,23,38
American,26,15,24,29
American,26,22,23,14
American,26,19,21,22
American,25,23,24,29
American,25,20,23,46
American,25,24,24,49
American,23,21,23,31
American,23,20,24,30
American,23,18,22,14
American,23,18,21,24
American,23,24,23,35
American,23,26,23,29
American,23,20,22,31
American,23,13,21,15
American,23,23,22,33
American,23,23,22,33
American,23,22,23,21
American,23,16,21,34
American,23,23,22,24
American,23,23,22,24
American,23,23,22,24
American,23,23,22,24
American,23,23,22,24
American,23,21,22,21
American,23,23,19,18
American,23,21,23,27
American,21,17,19,31
American,21,22,20,32
American,21,15,21,15
American,21,20,25,31
American,21,19,18,35
American,21,22,20,35
American,21,19,21,23
American,21,17,20,21
American,21,18,20,35
American,21,22,21,21
American,21,20,20,33
American,21,20,20,24
American,21,23,21,23
American,20,20,21,22
American,20,23,20,36
American,20,21,19,32
American,20,20,21,24
American,20,21,21,35
American,20,21,21,34
American,20,23,21,23
