model,weight,mileage
Honda Accord Sedan LX,3164,34
Toyota Corolla,2590,38
Toyota Sequoia Limited 4WD,5295,17
Mitsubishi Eclipse RS,2976,31
Hyundai Tiburon Base,2997,30
Ford Freestar Wagon SE,4275,23
Dodge Grand Caravan XFWD,4218,25
Toyota Sienna XLE FWD,4165,27
Chevrolet Colorado Extended Cab 2WD,3631,24
Dodge Dakota Club Cab,3838,22
Chevrolet Trail Blazer,4612,21
Jeep Grand Cherokee Laredo,3970,21
Dodge Durango ST,4981,18
Ford Expedition Eddie Bauer,5671,17
Chevrolet Tahoe 4WD,5050,18
GMC Yukon 4WD,5262,18
Ford Thunderbird Premium,3863,23
Mercedes-Benz SLR,3220,22
Jeep Liberty,4115,21
Hyundai Santa Fe Base,3574,27
Buick Le Sabre Custom,3567,29
Pontiac Bonneville,3633,29
Toyota Avalon,3417,29
Toyota Celica GT,2460,33
Hummer H2,6400,17
