SAT score,State,HS Grad Rate,Health Ins
1111,AL,78.9,13.1
1036,AK,92.2,15.7
1049,AZ,84.6,17.9
1118,AR,81,16.1
1018,CA,80.2,19.5
1104,CO,87.6,15.6
1026,CT,88,10.2
1002,DE,88.5,9.2
958,DC,83.5,12.7
996,FL,83.3,17.5
984,GA,82.9,16.6
1002,HI,87.9,9.6
1080,ID,86.8,16
1179,IL,85.9,13.6
1004,IN,85.3,11.8
1183,IA,88.3,7.5
1160,KS,87.5,11.4
1106,KY,80.8,12.3
1122,LA,78.8,19.3
1004,ME,87.4,10.3
1024,MD,87.5,12.3
1038,MA,86.5,8.2
1140,MI,86.5,10.4
1173,MN,92.2,8
1116,MS,79.1,16.4
1165,MO,88.1,10.2
1081,MT,89.7,13.6
1139,NE,89.8,9.5
1027,NV,85.8,16.1
1043,NH,90.2,9.4
1016,NJ,85.9,13.1
1088,NM,81.6,20.7
1006,NY,83.7,15.5
1001,NC,80.1,14.4
1215,ND,89,9.6
1077,OH,87.3,11.2
1131,OK,85.1,18.3
1053,OR,87.7,12.8
1002,PA,86.1,9.2
1006,RI,80.1,7.7
989,SC,80.2,12.3
1176,SD,89.2,9.3
1128,TN,80.1,11.3
993,TX,78.1,23.5
1125,UT,91,14.8
1027,VT,87.4,9.6
1024,VA,86.7,10.9
1062,WA,90.4,13.1
1032,WV,78.5,13.2
1179,WI,86.8,7.7
1097,WY,91.6,15.9
