2010rank,state,reading,math,writing,combined,participation(Percent)
1,Iowa ,603,613,582,1798,3
2,Minnesota ,594,607,580,1781,7
3,Wisconsin ,595,604,579,1778,4
4,Missouri ,593,595,580,1768,4
5,Michigan ,585,605,576,1766,5
6,South Dakota ,592,603,571,1766,3
7,Illinois ,585,600,577,1762,6
8,Kansas ,590,595,567,1752,6
9,Nebraska ,585,593,568,1746,4
10,North Dakota ,580,594,559,1733,4
11,Kentucky ,575,575,563,1713,6
12,Tennessee ,576,571,565,1712,10
13,Colorado ,568,572,555,1695,18
14,Arkansas ,566,566,552,1684,4
15,Oklahoma ,569,568,547,1684,5
16,Wyoming ,570,567,546,1683,5
17,Utah ,568,559,547,1674,6
18,Mississippi ,566,548,552,1666,3
19,Louisiana ,555,550,547,1652,7
20,Alabama ,556,550,544,1650,7
21,New Mexico ,553,549,534,1636,11
22,Ohio ,538,548,522,1608,21
23,Idaho ,543,541,517,1601,19
24,Montana ,538,538,517,1593,24
25,Washington ,524,532,508,1564,54
26,New Hampshire ,520,524,510,1554,77
27,Massachusetts ,512,526,509,1547,86
28,Oregon ,523,524,499,1546,54
29,Vermont ,519,521,506,1546,66
30,Arizona ,519,525,500,1544,25
31,Connecticut ,509,514,513,1536,84
32,Alaska ,518,515,491,1524,48
33,West Virginia ,515,507,500,1522,16
34,Virginia ,512,512,497,1521,67
35,California ,501,516,500,1517,50
36,New Jersey ,495,514,497,1506,76
37,Maryland ,501,506,495,1502,70
38,North Carolina ,497,511,477,1485,63
39,Rhode Island ,494,495,488,1477,67
40,Indiana ,494,505,477,1476,64
41,Florida ,496,498,479,1473,59
42,Pennsylvania ,492,501,480,1473,71
43,Nevada ,496,501,473,1470,43
44,Delaware ,493,495,481,1469,71
45,Texas ,484,505,473,1462,53
46,New York ,484,499,478,1461,85
47,Hawaii ,483,505,470,1458,58
48,Georgia ,488,490,475,1453,74
49,South Carolina ,484,495,468,1447,66
50,District of Columbia ,474,464,466,1404,76
51,Maine ,468,467,454,1389,92
