Year,Temperature
1895,50.53
1896,52.09
1897,51.56
1898,51.44
1899,51.07
1900,52.82
1901,51.94
1902,51.69
1903,50.75
1904,51.22
1905,51.09
1906,51.81
1907,51.56
1908,52.13
1909,51.47
1910,52.47
1911,52.11
1912,50.34
1913,51.64
1914,51.93
1915,51.53
1916,50.93
1917,50.16
1918,51.96
1919,51.59
1920,51.11
1921,53.83
1922,52.1
1923,51.74
1924,50.65
1925,52.57
1926,52.02
1927,52.18
1928,51.97
1929,50.92
1930,52.05
1931,53.61
1932,51.81
1933,53.07
1934,54.15
1935,51.94
1936,52.19
1937,51.61
1938,53.25
1939,53.32
1940,51.93
1941,52.78
1942,51.92
1943,52.15
1944,51.94
1945,51.8
1946,53.01
1947,51.98
1948,51.68
1949,52.11
1950,51.45
1951,51.16
1952,52.35
1953,53.41
1954,53.36
1955,51.74
1956,52.37
1957,52.11
1958,51.99
1959,52.14
1960,51.47
1961,51.89
1962,51.91
1963,52.27
1964,51.71
1965,51.69
1966,51.5
1967,51.8
1968,51.35
1969,51.51
1970,51.64
1971,51.71
1972,51.39
1973,52.31
1974,52.29
1975,51.52
1976,51.5
1977,52.57
1978,51.06
1979,50.92
1980,52.4
1981,53.13
1982,51.35
1983,51.92
1984,52.02
1985,51.28
1986,53.35
1987,53.37
1988,52.64
1989,51.8
1990,53.56
1991,53.18
1992,52.62
1993,51.28
1994,52.9
1995,52.71
1996,51.89
1997,52.27
1998,54.32
1999,53.94
2000,53.27
2001,53.68
2002,53.21
2003,53.3
2004,53.12
2005,53.65
2006,54.33
2007,53.67
2008,52.32
2009,52.39
2010,53.02
2011,53.21
2012,55.33
2013,52.4
