Student,CSWapp,CSWother
1,5.6,6
2,3.8,3.4
3,5,3.4
4,2.4,3.2
5,4.4,3
6,4.8,4.2
7,4.6,2.4
8,3.6,5.2
9,5.8,5
10,4.2,5
11,4.6,4.6
12,3.6,4.6
13,5,2.8
14,6.4,3.8
15,5.2,2.4
16,5.6,5.6
17,6.8,4.8
18,6.2,6.2
19,2.4,2.4
20,5.4,4.2
21,2.8,2
22,6.4,3.8
23,4.6,4.2
24,5.6,2.8
25,6.8,5.4
26,2.6,4.6
27,6,2
28,3.6,2
29,4.6,3.2
30,6,5.6
31,3.2,3.8
32,4.6,5.2
33,5.4,5
34,4.8,4.8
35,4.8,2.2
36,4.8,4.4
37,5.2,5.2
38,6.6,4.2
39,6,4.2
40,6,4.8
41,5.4,5.2
42,5.2,4.4
43,4.6,4.4
44,5.8,4.6
45,5.4,5
46,5,2.8
47,5,4.6
48,5.6,4.2
49,7,6.6
50,4.4,6
51,2.2,1.8
52,5.2,5.2
53,4.6,3.2
54,6.8,4.2
55,6.2,6.6
56,5.4,5
57,5,4.6
58,5.2,4.4
59,2.4,1.4
60,6,5
61,4.4,3.6
62,6.8,5.6
63,6,4.8
64,5,5.8
65,4.8,5.2
66,4.4,3
67,3.2,4.4
68,5.4,5.6
69,5,4.6
70,6.4,5.2
71,2.6,2.4
72,6,3.8
73,5.4,5
74,3.8,2.8
75,5.2,5
76,4.8,5
77,5.4,5.2
78,4,4
79,5.2,3.6
80,6.8,3
81,6,4.6
82,5.4,4.8
83,4.6,5.4
84,3.8,2
85,5,5
86,6,4
87,5.2,3.6
88,2.2,1.6
89,6.4,4.8
90,5,4.2
91,4.6,5
92,5.6,5.2
93,4.4,1.2
94,6,5.2
95,4.4,4.2
96,3.4,4.2
97,4.4,6
98,5.2,4.8
99,4.4,3
100,6.6,5.8
101,5.8,4.4
102,5.6,4.4
103,5.8,4.2
104,3.4,1
105,5.4,3
106,5.6,4.8
107,4.6,3.2
108,5,3.4
109,4.4,3.8
110,5.2,6.6
111,4.8,2.8
112,4.2,4.4
113,5.8,5.6
114,5,5
115,2.6,3.4
116,4.6,5.2
117,4.6,4
118,6.2,5
119,5,2.2
120,4.8,4.2
121,6,3.2
122,3.4,2.6
123,5.4,6.2
124,2.8,2
125,5.2,3.4
126,5.8,5.2
127,2.6,1.8
128,4.6,4.2
129,5.2,5
130,4.4,3.6
131,4,2.8
132,4.8,5.8
133,5.2,3.8
134,5,2.8
135,3.4,3.2
136,6.2,5.2
137,6,6
138,6.4,6
139,4.6,3.6
140,5.8,4.4
141,5.2,4.4
142,6,5.4
143,5.2,3.4
144,7,6.4
145,5.2,4.4
146,3.6,4.6
147,5.4,3
148,5.2,4
149,5.2,2.4
150,4.4,5
151,5.8,5.2
152,4.8,4.6
153,7,6.2
154,5,2.4
155,5.4,4.2
156,5.6,6
157,6,3.4
158,5,2
159,5,4.8
160,4.4,4.4
161,2.2,2
162,5.4,5.2
163,5.8,3.4
164,5,1.8
165,2.8,3.8
166,6.8,6.2
167,5.8,5.6
168,3.8,4.2
169,4.8,5.2
170,5.8,6.4
171,6,3.4
172,5.8,5
173,4,2.6
174,5.2,5
175,5.2,4.2
176,5.8,5.4
177,4.8,4.4
178,5.4,4.8
179,6,6.4
180,5.4,5.4
181,5,4.2
182,5.8,5.4
183,5,3
184,6.2,4.8
185,5.2,4
186,5,3.8
187,5.4,3.8
188,5,4.4
189,4.6,5.6
190,5.8,3.4
191,4.8,5.4
192,4.6,4.2
193,6.6,4.2
194,3.8,1.2
195,5.8,5.8
196,5.6,5.6
197,6,5.8
198,5.4,5.2
199,3.4,2.4
200,4.4,4.6
201,3.6,1.6
202,5.4,4.2
203,5.4,5.2
204,5,3.4
205,4,3.8
206,5.8,5.2
207,6.4,3.6
208,6.4,4.8
209,5,4
210,4.8,3
211,5,4.2
212,3,3.2
213,6.2,5.2
214,3.8,2.8
215,6.6,2.4
216,5.2,5.2
217,5,6
218,4.4,4.4
219,5,4
220,5.6,4.4
221,3.2,3.8
222,3.6,4.6
223,4.8,4.6
224,5.2,3
225,5.2,4.6
226,3.8,4
227,5.2,4
228,6.4,5.6
229,6.2,7
