Student,ExerciseFall,ExerciseSpring
1,0,3
2,0,1
3,1,2
4,2,4
5,2,12
6,2,2
7,2,4
8,2,7
9,2,3
10,2,1
11,2,4
12,2,10
13,2,3
14,2,3
15,2,0
16,2,2
17,3,0
18,3,1
19,3,2
20,3,3
21,3,4
22,3,2
23,3,2
24,3,4
25,3,1
26,3,4
27,3,0
28,4,1
29,4,5
30,4,4
31,4,3
32,4,4
33,4,5
34,4,3
35,5,5
36,5,6
37,5,10
38,5,1
39,5,5
40,6,8
41,6,9
42,6,9
43,6,3
44,6,6
45,6,5
46,6,5
47,6,7
48,7,7
49,7,8
50,7,10
51,7,6
52,7,10
53,7,9
54,7,3
55,8,15
56,8,10
57,8,8
58,8,15
59,9,10
60,9,13
61,9,9
62,10,12
63,10,12
64,11,14
65,12,16
66,12,9
67,12,16
68,12,10
69,12,15
70,12,10
71,12,13
72,13,14
73,13,12
74,13,14
75,13,16
76,13,25
77,14,13
78,14,11
79,14,17
80,14,15
81,14,15
82,14,14
83,14,17
84,15,16
85,15,10
86,15,15
87,16,10
88,16,24
89,16,20
90,18,10
91,18,14
92,18,8
93,18,4
94,18,10
95,18,15
96,19,23
97,19,21
98,19,10
99,20,14
100,20,8
101,20,25
102,21,8
103,24,12
104,25,10
105,25,25
106,25,15
