Student,Cognitive,Behavioral
1,1.25,1.11
2,1.75,1.78
3,1.58,1.33
4,1.17,1.44
5,1.5,1.11
6,2.42,2.33
7,2.08,2.11
8,2.17,2.22
9,1.33,1.33
10,1.58,1.33
11,1.33,1.44
12,2.17,2.11
13,2.5,2.22
14,2.33,1.67
15,2.08,1.22
16,1.42,1.33
17,3.33,2
18,3.92,3
19,2.17,1.22
20,1.83,1.44
21,1.08,1.11
22,5,4.22
23,1.58,1.78
24,2.42,1.44
25,2.67,2.67
26,1.83,1.56
27,3.67,3.67
28,2.17,2.11
29,1.42,1.44
30,2.67,1.78
31,2,2.33
32,1.08,1.11
33,2.75,1.67
34,1.58,1
35,2.5,2.11
36,1.75,1.33
37,2.33,2.33
38,2.5,2
39,1.75,2
40,2.83,2.11
41,1.33,1
42,2.17,1.11
43,1.83,1.33
44,3,2.44
45,2.5,1.89
46,3.58,2.56
47,2.83,2.33
48,2.58,1.67
49,4.58,2.56
50,3,1.78
51,2.17,1.44
52,1.67,2.11
53,1,1
54,4.08,2.33
55,3.42,3.22
56,1.92,2.44
57,1.17,1
58,2.25,1.89
59,1.17,1
60,2.58,2.11
61,3,2.44
62,2.58,2.22
63,2.08,1.67
64,1.83,1.67
65,1.92,1.22
66,2.33,2.22
67,1.92,2.22
68,1.75,1.44
69,2.42,2.22
70,2.58,2.22
71,1.25,1.33
72,2.5,1.33
73,1.42,1.89
74,3.67,2
75,2.08,2
76,1.67,1.33
77,2.75,2.22
78,1.75,1.11
79,1.92,1.56
80,3.25,2.11
81,3,2.56
82,2.42,2.22
83,1.58,1.89
84,3.33,2.56
85,2.25,1.56
86,2.67,2.56
87,1.92,1.67
88,1.5,1.56
89,2.83,2.78
90,2.83,2.78
91,1.75,1
92,1.58,1.33
93,1.58,1.44
94,3.67,2.33
95,2.75,1.89
96,1.92,1.56
97,1.25,1.56
98,2.25,2.11
99,1.67,1.44
100,3.08,1.89
101,2,1.56
102,4.08,2.33
103,2.17,1
104,2.92,2.67
105,3.17,2.56
106,2.42,1.44
107,3,2.67
108,1.92,2.22
109,2.08,1.78
110,3,1.89
111,1.92,2.56
112,2,1.22
113,1.33,1.22
114,1.67,2
115,1,1
116,1.83,2
117,4,2.67
118,2.83,1.78
119,1,1
120,2.92,1.44
121,2.08,1.89
122,1.33,1.11
123,3,2.56
124,1.67,1.67
125,2.75,2.11
126,1.58,1.56
127,1.17,1.11
128,2.25,1.78
129,3.42,3.56
130,1.5,1
131,1.83,1.33
132,2.17,1.67
133,1.92,1.44
134,1.33,1
135,1.58,1.33
136,2.08,1.56
137,2.25,1.44
138,3.42,2.78
139,2.25,1.44
140,1.92,1.22
141,1.42,1.22
142,1.58,1
143,2.25,1.89
144,2.83,1
145,2.25,2.67
146,2.25,2.11
147,4,2.44
148,2.17,2
149,4.67,2.78
150,2.25,1.56
151,1.25,1.78
152,1.92,1.56
153,5.25,4.44
154,2.5,2.11
155,2.5,2.11
156,1.92,1
157,5.58,3.89
158,1.33,1.33
159,2,1.67
160,2.33,1.78
161,1.5,1.67
162,2.42,2.22
163,1.42,1
164,2.67,2
165,2.33,2.11
166,2.83,2.56
167,2.58,2.22
168,1.83,1.56
169,2.08,1.89
170,2.42,2
171,1.92,2.78
172,2.42,2
173,1.33,1
174,1.42,1.44
175,2,1.89
176,3.42,2.22
177,1.83,1.89
178,3.25,3.22
179,2.25,1.44
180,3.42,1.78
181,2.42,2.44
182,2.58,1.67
183,3.25,3.89
184,2,1.11
185,3.08,1.78
186,3.75,2.89
187,3.33,1.78
188,2.17,2.89
189,2.58,1.44
190,2.5,2.33
191,2.5,2
192,2.25,1.44
193,4,2.11
194,1.83,1.11
195,1.5,1.67
196,2.92,1.78
197,3.58,2.11
198,2.33,1.56
199,1.67,1.89
200,2,1.67
201,1.58,1.33
202,2.33,1.89
203,3.25,3
204,2.83,1.67
205,2.08,1.33
206,2.33,1.44
207,3.42,2.33
208,4,1.78
209,1.83,1.78
210,1.33,1.78
211,3.33,2.33
212,1.33,1.89
213,3,1.78
214,1.5,1
215,2,1.22
216,1.92,1.89
217,2.33,2
218,1.33,1
219,1.42,1.44
220,3.42,2.22
221,2.25,2.11
222,2,2
223,1.67,1.22
224,1.92,1.89
225,1.17,1.67
226,1.92,2.33
227,1.83,1.89
228,4.33,1.56
229,1.83,1.22
