id,loan_amnt,funded_amnt,term,int_rate,installment,grade,home_ownership,annual_inc,verification_status,loan_status,fico_range_low,fico_range_high,inq_last_6mths
1,35000,35000,36,13.58,1189,C,RENT,160000,Source Verified,Current,710,714,1
2,12000,12000,60,16.14,293,C,MORTGAGE,65000,Source Verified,Current,675,679,0
3,15000,15000,36,11.8,497,B,RENT,34000,Source Verified,Current,690,694,0
4,3025,3025,36,15.05,105,C,MORTGAGE,150000,Not Verified,Fully Paid,740,744,0
5,9000,9000,36,14.47,310,C,OWN,70000,Not Verified,Current,705,709,2
6,20000,20000,36,6.46,613,A,MORTGAGE,1.00E+05,Not Verified,Current,785,789,2
7,12500,12500,60,7.84,253,A,RENT,41600,Not Verified,Current,700,704,0
8,5000,5000,36,18.94,183,D,MORTGAGE,44000,Not Verified,Current,685,689,3
9,21000,21000,60,16.01,511,C,MORTGAGE,80000,Source Verified,Current,685,689,1
10,35000,35000,36,14.47,1204,C,MORTGAGE,90000,Verified,Current,745,749,0
11,7700,7700,36,6.11,235,A,MORTGAGE,52000,Source Verified,Current,665,669,0
12,20000,20000,60,17.97,508,D,RENT,69000,Source Verified,Current,720,724,0
13,16000,16000,36,7.96,501,A,OWN,82000,Not Verified,Fully Paid,685,689,0
14,3500,3500,36,17.47,126,D,MORTGAGE,93000,Not Verified,Fully Paid,710,714,2
15,5000,5000,36,11.06,164,B,MORTGAGE,60000,Not Verified,Current,665,669,0
16,12000,12000,60,18.06,305,D,MORTGAGE,70000,Verified,Fully Paid,675,679,1
17,30000,30000,60,10.07,638,B,RENT,138000,Verified,Current,760,764,1
18,21250,21250,36,10.33,689,B,OWN,60000,Not Verified,Current,735,739,0
19,30000,30000,60,7.35,599,A,MORTGAGE,1.00E+05,Not Verified,Current,770,774,1
20,20000,20000,36,6.71,615,A,RENT,56500,Not Verified,Current,715,719,0
21,1500,1500,36,12.98,51,B,RENT,65000,Not Verified,Current,685,689,0
22,15000,15000,36,6.11,457,A,MORTGAGE,80000,Source Verified,Current,705,709,0
23,14700,14700,36,10.47,478,B,MORTGAGE,120000,Not Verified,Current,670,674,1
24,13850,13850,36,5.31,417,A,MORTGAGE,62000,Source Verified,Fully Paid,760,764,0
25,10000,10000,36,14.47,344,C,MORTGAGE,94000,Source Verified,Current,680,684,0
26,16000,16000,36,17.47,574,D,OWN,20000,Verified,Current,680,684,1
27,20000,20000,60,28.72,631,F,RENT,70000,Source Verified,Late (31-120 days),660,664,3
28,19000,19000,60,7.21,378,A,MORTGAGE,80000,Not Verified,Current,765,769,0
29,36000,36000,36,10.56,1171,B,MORTGAGE,160000,Source Verified,Current,680,684,0
