hours,sex
1,female
1,male
1,female
1,female
1,male
1,male
1,male
2,female
2,male
3,female
3,male
3,female
3,female
3,male
5,male
5,female
6,female
6,male
6,male
6,female
6,female
6,male
6,female
6,female
7,female
7,female
8,female
8,female
8,female
8,male
8,male
8,male
10,female
10,female
10,male
10,female
10,male
10,female
10,female
10,female
10,male
11,female
12,female
12,female
12,female
12,male
13,female
13,female
13,female
14,female
15,female
15,female
15,female
15,male
15,female
15,female
15,female
15,male
15,female
15,female
15,female
15,male
15,female
15,female
15,male
15,female
15,male
16,female
16,female
16,male
16,male
16,male
16,female
16,male
16,male
16,female
16,female
16,female
16,male
16,female
16,female
16,female
16,female
16,female
17,female
18,female
18,female
18,male
19,female
20,female
20,female
20,male
20,male
20,female
20,female
20,male
20,female
20,female
20,female
20,male
20,female
20,male
20,male
20,male
20,female
20,female
20,male
20,female
20,female
20,female
20,female
20,female
20,female
20,female
20,female
20,male
20,male
20,male
20,female
20,male
20,female
20,male
20,female
20,female
20,female
20,male
20,female
20,female
20,female
20,male
20,female
20,male
20,female
20,female
20,female
20,male
21,female
21,female
22,male
22,female
22,male
22,male
22,male
22,female
22,female
22,female
23,female
24,male
24,female
24,female
24,female
24,female
24,female
24,female
24,female
24,male
24,female
24,male
24,female
24,male
24,female
25,female
25,female
25,female
25,female
25,female
25,male
25,female
25,male
25,male
25,female
25,male
25,male
25,female
25,female
25,female
25,female
25,male
25,female
25,female
25,female
25,female
25,female
25,female
25,female
25,male
25,female
25,female
25,female
26,male
26,female
27,female
27,female
27,male
27,male
28,female
28,female
28,female
28,male
28,male
28,female
28,female
28,male
28,male
29,female
29,male
29,male
30,female
30,male
30,male
30,male
30,female
30,female
30,male
30,female
30,male
30,female
30,male
30,female
30,female
30,female
30,male
30,female
30,female
30,male
30,female
30,male
30,female
30,female
30,female
30,female
30,male
30,female
30,female
30,male
30,female
30,female
30,male
30,male
30,female
30,female
30,male
30,female
30,female
30,female
30,female
30,male
30,male
30,male
30,female
30,male
30,female
30,female
30,female
30,male
30,female
30,male
30,female
30,male
30,female
30,male
30,male
30,female
30,male
30,male
30,female
30,female
30,female
30,male
32,female
32,female
32,male
32,male
32,female
32,female
32,female
32,male
32,female
32,female
32,male
32,female
32,female
32,male
32,male
32,male
32,male
32,female
32,female
32,female
32,female
32,male
32,female
32,female
32,male
32,male
32,female
32,female
32,female
33,female
33,male
33,male
33,female
34,female
34,male
34,female
34,female
34,female
35,female
35,male
35,female
35,male
35,male
35,male
35,male
35,female
35,female
35,male
35,female
35,female
35,female
35,male
35,male
35,female
35,female
35,male
35,female
35,male
35,female
35,female
35,female
35,male
35,female
35,female
35,male
35,male
35,male
35,female
35,female
35,female
35,male
35,female
35,female
35,female
35,female
35,male
35,female
35,male
35,female
35,female
35,female
35,male
35,female
35,female
35,female
35,male
35,female
36,female
36,female
36,female
36,female
36,female
36,female
36,male
36,male
36,female
36,female
36,male
36,female
36,female
36,male
36,female
36,female
36,female
36,female
36,female
36,female
36,female
36,female
36,female
36,female
36,female
36,female
37,female
37,female
37,male
37,female
37,female
37,female
37,female
37,female
37,female
37,male
37,male
37,female
37,female
37,female
37,female
37,female
37,female
38,male
38,female
38,female
38,female
38,male
38,female
38,female
38,female
38,female
38,female
38,female
38,female
38,male
38,female
38,female
38,female
38,female
38,female
38,female
39,female
40,male
40,female
40,female
40,male
40,male
40,male
40,female
40,male
40,male
40,male
40,male
40,female
40,male
40,male
40,female
40,female
40,female
40,female
40,female
40,male
40,male
40,male
40,male
40,male
40,male
40,female
40,male
40,female
40,female
40,male
40,male
40,female
40,female
40,male
40,female
40,female
40,female
40,female
40,female
40,female
40,female
40,female
40,female
40,female
40,female
40,male
40,male
40,male
40,female
40,male
40,female
40,female
40,female
40,female
40,female
40,male
40,female
40,male
40,female
40,male
40,female
40,female
40,male
40,female
40,male
40,female
40,female
40,male
40,female
40,female
40,female
40,male
40,female
40,male
40,male
40,male
40,male
40,female
40,female
40,male
40,female
40,male
40,female
40,female
40,male
40,female
40,male
40,female
40,male
40,female
40,male
40,female
40,male
40,male
40,male
40,female
40,female
40,female
40,female
40,female
40,female
40,male
40,female
40,female
40,male
40,female
40,female
40,male
40,female
40,female
40,female
40,male
40,male
40,male
40,female
40,male
40,male
40,male
40,female
40,male
40,male
40,female
40,female
40,male
40,female
40,male
40,female
40,female
40,male
40,female
40,male
40,female
40,male
40,female
40,male
40,female
40,female
40,female
40,male
40,female
40,male
40,male
40,male
40,male
40,male
40,male
40,male
40,male
40,male
40,female
40,female
40,female
40,male
40,male
40,male
40,female
40,female
40,male
40,male
40,male
40,female
40,male
40,female
40,male
40,female
40,male
40,male
40,male
40,male
40,female
40,male
40,female
40,female
40,female
40,male
40,male
40,male
40,female
40,female
40,female
40,male
40,male
40,male
40,female
40,male
40,male
40,male
40,female
40,male
40,female
40,male
40,male
40,female
40,female
40,female
40,female
40,female
40,male
40,female
40,female
40,male
40,female
40,male
40,male
40,male
40,male
40,female
40,female
40,female
40,female
40,male
40,female
40,male
40,male
40,male
40,female
40,female
40,male
40,female
40,female
40,male
40,male
40,male
40,female
40,male
40,male
40,male
40,male
40,male
40,female
40,male
40,female
40,male
40,male
40,female
40,male
40,male
40,female
40,male
40,female
40,male
40,female
40,male
40,female
40,female
40,male
40,female
40,male
40,female
40,female
40,male
40,female
40,male
40,male
40,male
40,male
40,female
40,female
40,female
40,female
40,male
40,male
40,female
40,female
40,female
40,female
40,female
40,male
40,male
40,female
40,female
40,female
40,male
40,female
40,female
40,female
40,male
40,male
40,female
40,male
40,male
40,female
40,female
40,female
40,female
40,female
40,female
40,male
40,female
40,male
40,male
40,male
40,male
40,male
40,male
40,female
40,female
40,female
40,male
40,female
40,female
40,female
40,female
40,female
40,male
40,male
40,male
40,male
40,male
40,female
40,female
40,female
40,female
40,male
40,male
40,female
40,male
40,male
40,male
40,female
40,female
40,male
40,male
40,male
40,female
40,male
40,female
40,female
40,female
40,female
40,male
40,male
40,male
40,female
40,female
40,female
40,male
40,female
40,female
40,female
40,male
40,female
40,female
40,male
40,male
40,female
40,female
40,male
40,female
40,male
40,female
40,female
40,female
40,male
40,male
40,female
40,female
40,female
40,male
40,male
40,female
40,male
40,female
40,female
40,female
40,female
40,male
40,female
40,female
40,female
40,male
40,male
40,male
40,female
40,female
40,female
40,male
40,male
40,female
40,female
40,male
40,male
40,male
40,female
40,female
40,male
40,female
40,female
40,female
40,female
40,female
40,male
40,female
40,male
40,female
40,female
40,male
40,female
40,male
40,female
40,male
40,male
40,female
40,male
40,male
40,female
40,female
40,male
40,female
40,female
40,female
40,female
40,female
40,female
40,male
40,male
40,female
40,female
40,female
40,female
41,male
41,female
41,male
41,female
41,male
42,female
42,male
42,male
42,male
42,female
42,female
42,male
42,male
42,male
42,female
42,male
42,female
42,female
42,male
42,female
42,female
42,female
42,male
42,female
42,male
42,female
43,male
43,male
43,male
43,male
43,male
43,female
43,female
43,male
43,female
43,male
43,male
44,female
44,female
44,male
44,female
44,male
44,female
44,female
44,male
44,female
44,male
44,male
44,female
44,male
44,male
44,male
44,female
44,male
45,male
45,male
45,female
45,male
45,female
45,male
45,male
45,male
45,female
45,male
45,male
45,female
45,male
45,female
45,male
45,male
45,male
45,female
45,male
45,female
45,male
45,female
45,female
45,female
45,female
45,male
45,male
45,female
45,female
45,male
45,male
45,female
45,female
45,male
45,female
45,female
45,female
45,male
45,male
45,female
45,male
45,female
45,female
45,male
45,male
45,male
45,male
45,male
45,female
45,female
45,male
45,male
45,female
45,male
45,female
45,male
45,male
45,male
45,male
45,female
45,male
45,female
45,female
45,male
45,female
45,male
45,male
45,female
45,male
45,male
45,female
45,male
45,female
45,male
45,male
45,female
45,female
45,female
45,female
45,male
46,female
46,female
46,male
46,female
46,female
46,female
46,female
46,female
46,female
46,male
46,male
46,male
46,male
47,female
47,female
47,female
47,female
48,male
48,male
48,male
48,female
48,male
48,male
48,male
48,female
48,female
48,female
48,male
48,male
48,male
48,male
48,male
48,female
48,female
48,male
48,male
48,female
48,female
48,female
48,male
48,male
48,male
48,male
48,male
48,male
49,female
49,male
50,male
50,male
50,female
50,male
50,female
50,male
50,male
50,female
50,male
50,male
50,female
50,female
50,male
50,female
50,male
50,female
50,female
50,male
50,female
50,male
50,male
50,male
50,male
50,male
50,female
50,male
50,male
50,female
50,female
50,female
50,male
50,male
50,male
50,female
50,female
50,female
50,female
50,male
50,male
50,male
50,male
50,male
50,male
50,male
50,female
50,male
50,male
50,male
50,male
50,female
50,male
50,male
50,female
50,female
50,female
50,female
50,male
50,female
50,male
50,male
50,female
50,female
50,female
50,male
50,female
50,female
50,female
50,female
50,male
50,female
50,male
50,female
50,female
50,male
50,female
50,female
50,male
50,male
50,male
50,male
50,male
50,male
50,female
50,female
50,male
50,female
50,female
50,female
50,male
50,male
50,female
50,male
50,male
50,male
50,female
50,male
50,female
50,female
50,female
50,female
50,male
50,male
50,female
50,male
50,female
50,male
50,male
50,female
50,male
50,female
50,male
50,male
51,male
51,male
52,female
52,male
52,male
52,female
52,male
52,female
52,male
52,female
52,male
53,male
53,male
53,male
53,male
53,female
53,male
54,male
54,male
54,female
54,male
54,female
54,male
54,male
54,male
54,female
54,female
55,female
55,female
55,male
55,female
55,male
55,female
55,female
55,female
55,female
55,female
55,female
55,female
55,female
55,male
55,male
55,male
55,male
55,female
55,male
55,male
55,male
55,female
55,male
55,female
55,male
55,male
55,male
55,male
55,male
55,male
55,female
55,female
55,male
55,female
55,female
56,male
56,male
56,female
57,male
57,male
57,male
57,female
57,female
58,male
58,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,female
60,male
60,male
60,male
60,male
60,female
60,male
60,male
60,female
60,male
60,male
60,female
60,male
60,male
60,male
60,female
60,female
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,female
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,female
60,male
60,male
60,male
60,female
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,male
60,female
60,female
60,male
60,female
60,male
60,male
60,female
60,male
60,female
60,male
60,male
60,female
60,female
60,female
60,female
60,male
60,male
60,male
60,male
60,male
60,female
60,male
60,male
60,female
60,female
60,male
60,male
60,male
60,male
60,male
60,female
60,female
61,male
62,male
62,male
62,male
62,female
64,male
64,male
64,male
64,male
64,male
65,male
65,female
65,male
65,male
65,male
65,female
65,male
65,male
65,male
65,male
65,male
65,female
65,male
65,male
65,male
65,female
65,female
68,female
70,female
70,male
70,male
70,male
70,male
70,male
70,male
70,female
70,male
70,male
70,male
70,male
70,male
70,male
70,female
70,male
70,male
70,male
70,male
70,male
70,male
70,male
70,male
70,female
70,male
72,male
72,female
72,female
72,male
72,male
75,male
75,male
75,female
75,female
75,male
76,female
78,male
80,male
80,female
80,male
80,female
84,male
84,female
85,female
86,male
86,male
86,male
89,male
89,male
89,male
89,female
89,male
89,male
89,male
89,female
89,male
89,male
89,male
89,male
