Year,Temp
1901,59.64
1902,61.98
1903,60.78
1904,61.61
1905,61.57
1906,63.02
1907,63.2
1908,63.49
1909,62.81
1910,62.22
1911,65
1912,61.57
1913,63.33
1914,62.78
1915,63.43
1916,64.1
1917,62.39
1918,63.55
1919,63.87
1920,61.91
1921,65.24
1922,64.27
1923,62.07
1924,60.89
1925,64.03
1926,62.79
1927,65.14
1928,62.39
1929,63.03
1930,62.76
1931,65.06
1932,64.2
1933,65.1
1934,62.51
1935,62.89
1936,62.74
1937,61.4
1938,62.43
1939,62.38
1940,59.32
1941,61.92
1942,60.52
1943,61.63
1944,63.09
1945,62.39
1946,63.32
1947,61.19
1948,62.85
1949,62.9
1950,61.65
1951,62.04
1952,62.71
1953,62.53
1954,62.92
1955,62.32
1956,62.47
1957,62.64
1958,60.39
1959,61.92
1960,60.72
1961,61.12
1962,62.23
1963,60.58
1964,61.1
1965,61.09
1966,59.78
1967,60.53
1968,60
1969,60.25
1970,61.69
1971,61.29
1972,61.47
1973,61.48
1974,61.13
1975,61.41
1976,59.57
1977,60.7
1978,60.49
1979,60.15
1980,61.08
1981,60.38
1982,60.38
1983,58.65
1984,60.22
1985,60.71
1986,61.92
1987,60.6
1988,60.05
1989,60.17
1990,62.93
1991,61.9
1992,60.13
1993,60.41
1994,60.88
1995,61.16
1996,60.59
1997,59.98
1998,61.48
1999,61.34
2000,59.06
