state,salary
Alabama,46879
Alaska,58395
Arizona,46358
Arkansas,45738
California,66995
Colorado,48485
Connecticut,63152
Delaware,56667
District of Columbia,62557
Florida,46921
Georgia,52879
Hawaii,54964
Idaho,45178
Illinois,61344
Indiana,49569
Iowa,48638
Kansas,46237
Kentucky,47875
Louisiana,48627
Maine,44731
Maryland,62849
Massachusetts,67572
Michigan,57327
Minnesota,52414
Mississippi,44498
Missouri,44249
Montana,44426
Nebraska,44968
Nevada,50067
New Hampshire,50128
New Jersey,63111
New Mexico,45752
New York,69118
North Carolina,48454
North Dakota,41654
Ohio,54656
Oklahoma,43846
Oregon,54085
Pennsylvania,57787
Rhode Island,58440
South Carolina,47421
South Dakota,35070
Tennessee,45549
Texas,47157
Utah,45923
Vermont,47884
Virginia,48385
Washington,52567
West Virginia,44701
Wisconsin,51121
Wyoming,54602
